imgIndex, ttcCamera
1, 12.4549
2, 14.0612
3, 13.0251
4, 15.428
5, 16.0074
6, 14.8166
7, 15.5618
8, 13.9689
9, 14.438
10, 11.9841
11, 12.1263
12, 11.376
13, 11.177
14, 10.6884
15, 10.2696
16, 9.88571
17, 8.8839
18, 9.01899
19, 9.43791
20, 8.72798
21, 8.47709
22, 8.32773
23, 8.77816
24, 8.82176
25, 9.06641
26, 10.4497
27, 9.99419
28, 9.77018
29, 9.40788
30, 9.75638
31, 11.191
32, 10.9704
33, 10.6757
34, 9.83019
35, 8.63757
36, 7.68684
37, 7.6703
38, 9.82147
39, 9.46086
40, 8.2069
41, 9.21679
42, 7.94708
43, 8.90752
44, 10.417
45, 9.20218
46, 10.5622
47, 10.662
48, 12.4409
49, 15.7578
50, 18.7489
51, 25.3145
52, 40.5031
53, 127.261
54, 10000
55, 10000
56, 10000
57, 10000
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 2159.99
73, 10000
74, 1287.83
75, 1452.96
76, 4242.99
