imgIndex, ttcCamera
1, 13.6948
2, 14.9824
3, 13.9532
4, 14.4576
5, 14.6821
6, 15.0753
7, 15.8833
8, 14.0401
9, 13.968
10, 12.1089
11, 12.2097
12, 11.9242
13, 10.0993
14, 10.203
15, 9.77933
16, 9.70747
17, 9.18056
18, 9.03878
19, 9.58735
20, 8.55575
21, 8.76924
22, 8.07617
23, 8.91337
24, 8.49987
25, 9.93013
26, 9.99692
27, 10.4244
28, 9.78157
29, 9.56907
30, 10.3698
31, 10.8011
32, 11.4714
33, 10.9869
34, 9.91083
35, 9.08831
36, 8.1706
37, 7.51021
38, 10.4174
39, 9.73145
40, 9.07046
41, 8.74178
42, 7.89731
43, 8.0074
44, 9.53742
45, 9.00175
46, 10.5591
47, 11.1945
48, 12.2401
49, 14.8544
50, 21.2464
51, 25.9504
52, 44.0194
53, 130.586
54, 10000
55, 10000
56, 2445.04
57, 10000
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 1381.22
73, 10000
74, 1287.45
75, 1571.71
76, 1973.63
