imgIndex, ttcCamera
1, 12.3262
2, 14.2679
3, 13.3159
4, 14.7328
5, 14.334
6, 15.5198
7, 16.0348
8, 13.8951
9, 14.6392
10, 12.3907
11, 12.1757
12, 10.5282
13, 10.1749
14, 10.346
15, 10.3674
16, 10.3515
17, 9.31623
18, 8.84806
19, 9.26897
20, 8.78134
21, 8.68229
22, 8.06549
23, 8.71607
24, 8.93644
25, 8.94886
26, 9.20038
27, 9.81905
28, 9.53643
29, 9.34681
30, 9.35413
31, 10.8537
32, 11.6998
33, 10.429
34, 9.58655
35, 8.48078
36, 7.79189
37, 7.40875
38, 9.48068
39, 9.52144
40, 8.69197
41, 8.49891
42, 7.2753
43, 8.15726
44, 9.65207
45, 9.17977
46, 9.99866
47, 10.7649
48, 12.1579
49, 14.8716
50, 21.4335
51, 24.9288
52, 40.7355
53, 121.087
54, 10000
55, 10000
56, 5643.51
57, 10000
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 2246.51
73, 10000
74, 1403.74
75, 1286.65
76, 4020.89
