imgIndex, ttcCamera
1, 12.6262
2, 13.7433
3, 14.2779
4, 14.667
5, 15.6605
6, 15.2558
7, 15.8045
8, 13.7411
9, 13.9765
10, 12.2329
11, 12.1674
12, 11.2712
13, 10.861
14, 10.372
15, 9.9823
16, 10.2019
17, 9.06264
18, 8.84389
19, 9.51591
20, 8.89616
21, 8.98504
22, 8.10938
23, 8.72113
24, 8.76652
25, 8.89552
26, 9.87763
27, 9.85907
28, 9.49062
29, 9.4705
30, 9.49562
31, 10.9349
32, 11.8613
33, 10.4861
34, 9.68638
35, 8.79581
36, 8.21486
37, 7.32064
38, 9.31457
39, 9.08664
40, 8.47299
41, 9.85352
42, 7.45143
43, 8.31966
44, 9.57853
45, 9.10517
46, 9.9622
47, 11.0423
48, 12.434
49, 13.9129
50, 21.2005
51, 25.1878
52, 39.7535
53, 137.082
54, 10000
55, 10000
56, 10000
57, 10000
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 1954.23
73, 10000
74, 1311.48
75, 1380.41
76, 3950.92
