imgIndex, ttcCamera
1, 12.4296
2, 14.4646
3, 13.422
4, 14.7402
5, 15.0629
6, 14.4385
7, 15.8285
8, 14.0038
9, 13.9593
10, 12.0631
11, 12.1405
12, 11.9178
13, 10.1605
14, 10.6145
15, 10.508
16, 9.78532
17, 8.88604
18, 9.12902
19, 9.68664
20, 8.64819
21, 9.28978
22, 8.0693
23, 8.80121
24, 8.68687
25, 9.52131
26, 9.85553
27, 10.3135
28, 9.55409
29, 9.79061
30, 10.0944
31, 10.6398
32, 11.0808
33, 11.1379
34, 9.85639
35, 8.80016
36, 7.81537
37, 7.71579
38, 9.24159
39, 9.4723
40, 8.17401
41, 8.60543
42, 8.12652
43, 8.18027
44, 10.3628
45, 8.92948
46, 10.9454
47, 10.9249
48, 12.0636
49, 15.8783
50, 19.6855
51, 25.5405
52, 46.6565
53, 115.645
54, 10000
55, 10000
56, 26474.4
57, 10000
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 1806.79
73, 10000
74, 1208.75
75, 1424.38
76, 2313.26
