imgIndex, ttcCamera
1, 14.2313
2, 16.8755
3, 12.7533
4, 18.4671
5, 20.2715
6, 18.7818
7, 18.2273
8, 16.597
9, 16.6887
10, 11.7175
11, 13.488
12, 16.5548
13, 12.217
14, 11.5618
15, 11.0822
16, 11.0994
17, 9.92636
18, 10.7207
19, 10.8158
20, 9.88928
21, 8.59001
22, 10.3403
23, 9.23091
24, 9.46693
25, 9.33855
26, 9.57631
27, 15.289
28, 11.6073
29, 11.8799
30, 12.2038
31, 14.1491
32, 14.4514
33, 16.0146
34, 10.4248
35, 9.88069
36, 8.81155
37, 7.66869
38, 10.1388
39, 9.28125
40, 8.13159
41, 7.85793
42, 7.20479
43, 8.86392
44, 7.75575
45, 8.75535
46, 10.3923
47, 11.5175
48, 12.6506
49, 12.3382
50, 18.8876
51, 25.0781
52, 71.5105
53, 122.178
54, 10000
55, 10000
56, 150.269
57, 1236.89
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 1731.83
73, 10000
74, inf
75, 10975.9
76, 5995.6
