imgIndex, ttcCamera
1, 14.8431
2, 22.9422
3, 13.8496
4, 16.7549
5, 24.4918
6, 19.6263
7, 19.1969
8, 14.6388
9, 14.9618
10, 15.4243
11, 12.0294
12, 11.8321
13, 11.6719
14, 11.9306
15, 12.1786
16, 10.3674
17, 8.51067
18, 10.347
19, 10.0872
20, 10.4112
21, 9.22409
22, 9.66017
23, 9.7504
24, 8.99538
25, 9.14844
26, 10.6163
27, 12.3143
28, 11.4464
29, 11.9311
30, 14.0864
31, 16.5424
32, 17.6088
33, 14.3935
34, 11.2954
35, 9.57983
36, 8.69132
37, 7.55788
38, 10.0326
39, 9.36375
40, 9.70243
41, 7.82184
42, 7.826
43, 8.07923
44, 8.41909
45, 9.75197
46, 10.263
47, 10.4584
48, 12.1055
49, 13.4301
50, 19.7062
51, 25.3282
52, 48.778
53, 148.011
54, 10000
55, 10000
56, 10000
57, 10000
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 1917.02
73, 10000
74, 5836.76
75, 5777.25
76, 17172.6
