imgIndex, ttcCamera
1, 14.3537
2, 25.9226
3, 13.2765
4, 17.1422
5, 23.9169
6, 19.9188
7, 16.7997
8, 16.051
9, 15.4442
10, 13.3532
11, 12.5323
12, 11.8791
13, 11.4803
14, 11.7777
15, 12.0918
16, 9.70666
17, 8.94684
18, 10.8539
19, 10.0413
20, 10.2951
21, 9.56352
22, 9.58613
23, 8.98063
24, 10.4324
25, 10.7261
26, 10.6047
27, 12.267
28, 11.813
29, 11.7889
30, 14.3191
31, 19.1639
32, 18.0278
33, 14.2422
34, 11.5364
35, 9.6039
36, 9.30869
37, 7.56053
38, 9.64166
39, 9.5635
40, 10.0376
41, 8.54407
42, 7.26081
43, 8.13799
44, 8.63402
45, 9.84456
46, 10.7821
47, 13.1647
48, 13.3367
49, 15.0126
50, 20.9501
51, 25.8046
52, 48.1746
53, 140.712
54, 10000
55, 10000
56, 10000
57, 788.689
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 1750.47
73, 10000
74, 3037.17
75, 3492.16
76, 10000
