imgIndex, ttcCamera
1, 21.4027
2, 19.7847
3, 15.0564
4, 17.6584
5, 19.3716
6, 19.1132
7, 18.1933
8, 15.8437
9, 15.1741
10, 12.6389
11, 12.8526
12, 12.098
13, 11.5946
14, 12.5687
15, 11.6289
16, 11.6317
17, 8.88018
18, 10.7193
19, 10.2311
20, 10.6699
21, 9.09325
22, 9.75905
23, 9.78219
24, 8.74054
25, 10.1334
26, 12.2242
27, 12.5736
28, 11.9029
29, 12.6374
30, 13.4359
31, 17.4302
32, 13.6006
33, 16.1901
34, 10.9039
35, 10.5067
36, 8.96905
37, 8.65568
38, 9.29673
39, 8.39084
40, 9.14786
41, 7.71586
42, 7.38971
43, 7.80042
44, 8.4734
45, 9.45477
46, 9.90629
47, 11.0605
48, 12.7455
49, 14.3583
50, 20.2954
51, 25.376
52, 51.1726
53, 138.578
54, 10000
55, 10000
56, 10000
57, 1209.73
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 2012.63
73, 10000
74, 4909.8
75, 3681.28
76, 3958.25
