imgIndex, ttcCamera
1, 17.3338
2, 18.7987
3, 20.0647
4, 14.2427
5, 32.3686
6, 19.1406
7, 15.7089
8, 17.339
9, 16.353
10, 14.924
11, 15.2207
12, 13.2376
13, 14.2545
14, 12.3326
15, 14.1244
16, 10.9278
17, 9.60501
18, 12.3426
19, 10.4943
20, 11.9674
21, 9.69153
22, 9.93902
23, 10.0341
24, 9.66066
25, 10.0878
26, 11.9781
27, 17.6584
28, 15.9814
29, 12.9752
30, 17.0675
31, 18.1989
32, 17.4392
33, 15.9649
34, 13.1169
35, 10.2414
36, 8.75239
37, 8.62834
38, 11.3543
39, 9.00284
40, 10.9206
41, 8.55553
42, 6.72908
43, 8.63696
44, 9.43508
45, 8.64174
46, 9.61203
47, 11.525
48, 13.0809
49, 14.9882
50, 20.7322
51, 27.6972
52, 59.4101
53, 157.941
54, 10000
55, 10000
56, 10000
57, 10000
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 1968.92
73, 10000
74, 6899.97
75, 3414.1
76, 10511.6
