imgIndex, ttcCamera
1, 12.7683
2, 11.3831
3, 14.7944
4, 17.7824
5, 16.0265
6, 14.5337
7, 14.0105
8, 12.9544
9, 14.0692
10, 14.3583
11, 11.1117
12, 11.0181
13, 11.046
14, 9.7704
15, 10.163
16, 9.34724
17, 9.25538
18, 10.0177
19, 9.01176
20, 9.32321
21, 8.54469
22, 8.90452
23, 8.5289
24, 8.04968
25, 9.27487
26, 8.94412
27, 9.55511
28, 10.8251
29, 9.68614
30, 11.8307
31, 12.8506
32, 15.1166
33, 13.7165
34, 10.8747
35, 9.25806
36, 8.77674
37, 8.31161
38, 9.80141
39, 9.39774
40, 9.09974
41, 7.61178
42, 7.9131
43, 7.80124
44, 8.60132
45, 8.69338
46, 10.0042
47, 9.79743
48, 11.9702
49, 13.7311
50, 17.5058
51, 21.8776
52, inf
53, inf
54, inf
55, inf
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
