imgIndex, ttcCamera
1, 14.3255
2, 11.9093
3, 12.1679
4, 15.2611
5, 16.6514
6, 12.1289
7, 13.2787
8, 12.5915
9, 13.7861
10, 15.5955
11, 10.6511
12, 11.5882
13, 10.5966
14, 10.3715
15, 9.32674
16, 9.48041
17, 9.13961
18, 9.92895
19, 9.01578
20, 9.36945
21, 7.91789
22, 9.12795
23, 8.49971
24, 7.76125
25, 8.58834
26, 8.83175
27, 9.25534
28, 10.787
29, 9.22896
30, 11.3363
31, 11.9417
32, 12.6008
33, 12.9335
34, 10.6059
35, 8.90445
36, 8.4158
37, 7.88227
38, 8.52716
39, 9.12738
40, 9.16836
41, 7.66326
42, 7.62091
43, 7.79804
44, 8.5
45, 8.23858
46, 9.63326
47, 9.20967
48, 11.4861
49, 15.0802
50, 17.5982
51, 23.6779
52, inf
53, inf
54, inf
55, inf
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
