imgIndex, ttcCamera
1, 12.9991
2, 12.6083
3, 13.5787
4, 17.2917
5, 13.2055
6, 12.8703
7, 13.7979
8, 12.6604
9, 14.7014
10, 13.5893
11, 11.0781
12, 11.6588
13, 10.4192
14, 10.1261
15, 9.57619
16, 10.3155
17, 9.60473
18, 10.3957
19, 9.48092
20, 9.61926
21, 7.9453
22, 9.01769
23, 8.49689
24, 8.15665
25, 9.12845
26, 9.03521
27, 8.94405
28, 12.2526
29, 9.52004
30, 13.3194
31, 12.6243
32, 13.3794
33, 14.7152
34, 9.9741
35, 9.07034
36, 8.36243
37, 7.98958
38, 8.86236
39, 8.73302
40, 8.91301
41, 8.23193
42, 7.88152
43, 8.52776
44, 8.80163
45, 8.56541
46, 10.4714
47, 10.1058
48, 12.5537
49, 16.5127
50, 17.6925
51, 21.7161
52, inf
53, inf
54, inf
55, inf
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
