imgIndex, ttcCamera
1, 12.219
2, 10000
3, 10000
4, 15.8484
5, 14.3087
6, 10000
7, 13.4978
8, 10000
9, 10000
10, 12.5864
11, 10000
12, 25.4506
13, 10.2646
14, 10000
15, 8.6477
16, 9.21076
17, 8.79008
18, 9.20022
19, 8.82511
20, 8.65321
21, 8.35198
22, 10000
23, 464.404
24, 8.06861
25, 10000
26, 10.6224
27, 10.4169
28, 575.607
29, 12.0527
30, 10000
31, 17.4131
32, 16.4568
33, 10000
34, 11.9295
35, 63.2847
36, 10.4732
37, 9.76442
38, 10000
39, 12.6483
40, 14.1416
41, 10000
42, 10000
43, 28.341
44, 10000
45, 9.37154
46, 10000
47, 10000
48, 12.7455
49, 14.7402
50, 19.385
51, 21.206
52, 10000
53, 10000
54, 10000
55, 10000
56, 10000
57, 10000
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 10000
69, 10000
70, 10000
71, 10000
72, 1056.32
73, 10000
74, 400.338
75, 244.883
76, 10000
