imgIndex, ttcCamera
1, 13.7589
2, 11.342
3, 14.4256
4, 16.6624
5, 14.7084
6, 13.4458
7, 12.7602
8, 13.6191
9, 13.817
10, 13.4112
11, 11.2889
12, 10.9502
13, 11.1676
14, 10.8923
15, 10.1
16, 9.1514
17, 9.40952
18, 9.50516
19, 9.78304
20, 9.06086
21, 8.679
22, 10.1785
23, 8.48001
24, 8.37719
25, 9.94775
26, 9.56364
27, 10.3453
28, 11.5459
29, 10.4969
30, 12.666
31, 13.5811
32, 14.0722
33, 12.7798
34, 11.3143
35, 9.65218
36, 9.31882
37, 8.2629
38, 9.39796
39, 9.24399
40, 9.22684
41, 8.04968
42, 8.21621
43, 7.4274
44, 8.28509
45, 8.4931
46, 10.0773
47, 9.50964
48, 11.3831
49, 13.6704
50, 18.0184
51, 20.2316
52, inf
53, inf
54, inf
55, inf
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
