imgIndex, ttcCamera
1, 24.0563
2, inf
3, 10000
4, 40.7737
5, 37.3806
6, 38.65
7, inf
8, inf
9, 11.1608
10, inf
11, 28.9749
12, 11.8437
13, inf
14, 9.43626
15, inf
16, 6.70181
17, inf
18, 7.80124
19, 11.4124
20, 13.0617
21, 8.67399
22, inf
23, 12.1132
24, 4.90971
25, 12.0187
26, 12.8433
27, 12.1051
28, 16.9539
29, inf
30, 14.3175
31, inf
32, 10000
33, 544.618
34, 39.77
35, 11.1009
36, 14.1025
37, 10000
38, 8.38201
39, inf
40, 7.26536
41, 9.04484
42, 16.0911
43, 15.7746
44, inf
45, 11.5042
46, 17.8277
47, 293.039
48, 44.1997
49, inf
50, inf
51, inf
52, inf
53, inf
54, inf
55, 10000
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
