imgIndex, ttcCamera
1, 8.69538
2, inf
3, inf
4, 15.079
5, inf
6, 15.771
7, inf
8, inf
9, 14.2078
10, inf
11, inf
12, 11.1055
13, inf
14, 11.322
15, inf
16, 6.60337
17, 11.1009
18, inf
19, 11.4124
20, 9.80566
21, 8.63027
22, inf
23, 12.1132
24, 5.3867
25, 45.5564
26, 16.7006
27, 15.5727
28, 39.7341
29, inf
30, 12.7104
31, inf
32, 10000
33, inf
34, 10.4756
35, 9.78808
36, 12.4072
37, 9.50578
38, 7.38054
39, 71.6053
40, 7.15042
41, 10.6018
42, 13.5447
43, 20.5106
44, inf
45, 14.9689
46, 136.517
47, inf
48, 16.6658
49, inf
50, inf
51, inf
52, inf
53, inf
54, inf
55, 10000
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
