imgIndex, ttcCamera
1, 12.0667
2, inf
3, 346.048
4, inf
5, inf
6, inf
7, inf
8, inf
9, inf
10, inf
11, inf
12, 10.1812
13, inf
14, 11.2961
15, inf
16, 6.98091
17, 7.84293
18, 4.7258
19, 13.1962
20, 14.6888
21, 9.69479
22, 29.379
23, 12.2478
24, 5.92505
25, 14.4226
26, inf
27, 13.5904
28, 35.0018
29, 39.7532
30, inf
31, inf
32, 10000
33, 15.6447
34, 9.36486
35, inf
36, 12.5751
37, 10.7454
38, 8.21525
39, inf
40, 7.30775
41, 10.4231
42, 10.7263
43, 15.2006
44, inf
45, 23.0159
46, 1094.73
47, inf
48, inf
49, inf
50, inf
51, inf
52, inf
53, inf
54, inf
55, 10000
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
