imgIndex, ttcCamera
1, 24.0563
2, inf
3, inf
4, 15.079
5, 35.3827
6, 25.2574
7, inf
8, inf
9, 15.418
10, inf
11, inf
12, 11.6948
13, inf
14, 9.43626
15, inf
16, 6.44389
17, 9.35242
18, 9.45184
19, 13.6191
20, 13.0617
21, 8.63027
22, 13.5363
23, 12.2478
24, 5.06381
25, 12.4409
26, 13.1762
27, 13.3505
28, 36.0499
29, 17.2723
30, 12.4903
31, inf
32, 10000
33, 118.108
34, 13.4634
35, 11.1009
36, 13.8348
37, 7.80829
38, 7.69387
39, 62.5737
40, 7.26536
41, 12.8893
42, 15.6665
43, 196.775
44, inf
45, 14.8545
46, 17.8277
47, 105.852
48, 173.525
49, inf
50, inf
51, inf
52, inf
53, inf
54, inf
55, 10000
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
