imgIndex, ttcCamera
1, 12.0667
2, inf
3, 326.78
4, 15.079
5, 35.3835
6, inf
7, inf
8, inf
9, 15.418
10, inf
11, 11.8846
12, 11.6948
13, inf
14, 11.2961
15, inf
16, 6.98091
17, 9.19919
18, inf
19, 11.2009
20, 16.1026
21, 9.5738
22, inf
23, 10.7075
24, 5.06381
25, 27.0639
26, 12.8433
27, 12.1051
28, 29.818
29, 58.7828
30, 13.6066
31, 41.784
32, 10000
33, 544.618
34, 10.2898
35, 11.1009
36, 13.8348
37, 6.59772
38, 8.41896
39, inf
40, 9.20923
41, 10.8132
42, 12.7935
43, 15.9193
44, inf
45, 12.4194
46, 17.8277
47, inf
48, 19.3253
49, inf
50, inf
51, inf
52, inf
53, inf
54, inf
55, 10000
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
