imgIndex, ttcCamera
1, 24.409
2, 66.67
3, 113.49
4, 11.8537
5, 47.565
6, inf
7, inf
8, 243.178
9, inf
10, 52.5351
11, 18.7215
12, 17.626
13, 21.9383
14, 9.8835
15, 9.45255
16, 7.82867
17, 15.416
18, 14.945
19, 12.7106
20, 11.1641
21, 12.4124
22, 12.2686
23, 12.1432
24, 10.6823
25, 36.9692
26, 16.7614
27, inf
28, inf
29, inf
30, 68.0694
31, inf
32, 18.2748
33, 14.9174
34, 27.428
35, 9.01131
36, 9.13119
37, 26.967
38, 11.6041
39, inf
40, 33.8571
41, 22.3162
42, 14.724
43, 11.5368
44, inf
45, 12.5858
46, 137.437
47, inf
48, inf
49, inf
50, inf
51, inf
52, inf
53, inf
54, inf
55, 10000
56, 10000
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
