imgIndex, ttcCamera
1, 12.0906
2, 54.1675
3, 12.122
4, 28.8792
5, inf
6, 11.893
7, inf
8, 15.0061
9, inf
10, inf
11, 8.34926
12, inf
13, 7.18362
14, 12.1598
15, 13.6989
16, 14.2009
17, 11.7891
18, 30.2684
19, 7.93583
20, 18.8355
21, 20.6681
22, 9.83557
23, 20.6157
24, 10.7822
25, 30.7882
26, inf
27, inf
28, inf
29, inf
30, 16.9796
31, inf
32, 22.733
33, 2629.34
34, 22.8548
35, 8.34256
36, 11.1135
37, 6.43709
38, 14.3669
39, inf
40, inf
41, inf
42, 11.9282
43, inf
44, inf
45, 38.9174
46, inf
47, inf
48, inf
49, inf
50, inf
51, inf
52, inf
53, inf
54, inf
55, 10000
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
