imgIndex, ttcCamera
1, 7.93808
2, inf
3, 17.5127
4, 10.8704
5, 156.228
6, 30.4961
7, inf
8, 8.92093
9, 237.384
10, inf
11, 7.95798
12, inf
13, 6.57265
14, 644.991
15, 8.41879
16, 8.45242
17, 9.92818
18, 11.7243
19, 11.35
20, inf
21, inf
22, 7.56466
23, 33.2641
24, 13.732
25, inf
26, 177.653
27, inf
28, inf
29, inf
30, inf
31, 145144
32, inf
33, inf
34, inf
35, 11.7064
36, 9.4816
37, 10.4411
38, 15.6068
39, inf
40, inf
41, inf
42, inf
43, inf
44, inf
45, 75.4284
46, inf
47, inf
48, inf
49, inf
50, inf
51, inf
52, inf
53, inf
54, inf
55, 10000
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
