imgIndex, ttcCamera
1, 15.265
2, 10.7826
3, 13.2084
4, 18.1511
5, inf
6, inf
7, inf
8, 11.4668
9, inf
10, inf
11, 8.5077
12, inf
13, 9.67676
14, 15.4795
15, 13.3529
16, 10.7249
17, 13.0462
18, 29.8903
19, 9.55133
20, inf
21, 27.6787
22, 8.79252
23, 17.9196
24, 10.8532
25, inf
26, inf
27, inf
28, inf
29, inf
30, inf
31, inf
32, 25.5694
33, inf
34, 14.3541
35, 9.71302
36, 11.9873
37, 7.32797
38, 16.5418
39, inf
40, 45.4449
41, 28.5995
42, 11.5566
43, 20.3089
44, inf
45, 27.6146
46, inf
47, inf
48, inf
49, inf
50, inf
51, inf
52, inf
53, inf
54, inf
55, 10000
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
