imgIndex, ttcCamera
1, 12.4827
2, 14.1748
3, 11.5279
4, 119.824
5, inf
6, inf
7, inf
8, 14.3505
9, inf
10, inf
11, 10.8864
12, inf
13, 8.28999
14, 18.1909
15, 17.1346
16, 9.9327
17, 14.2608
18, 18.0293
19, 14.0301
20, inf
21, 15.034
22, 10.2661
23, 31.0073
24, 12.047
25, 15.7678
26, inf
27, inf
28, inf
29, inf
30, inf
31, inf
32, inf
33, inf
34, 40.9466
35, 10.5533
36, 11.2244
37, 6.96208
38, 13.7178
39, inf
40, 41.282
41, 133.507
42, 12.0013
43, 211.055
44, 186.74
45, 21.096
46, inf
47, inf
48, inf
49, inf
50, inf
51, inf
52, inf
53, inf
54, inf
55, 10000
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
