imgIndex, ttcCamera
1, 14.6743
2, 12.7634
3, 14.6538
4, 11.5357
5, 13.4059
6, 18.1034
7, 13.8276
8, 13.6321
9, 11.7376
10, 15.558
11, 11.4861
12, 11.2759
13, 12.1365
14, 10.8332
15, 10.239
16, 10.1168
17, 11.8198
18, 7.23987
19, 10.8046
20, 8.96084
21, 8.95082
22, 9.54775
23, 8.13068
24, 9.44011
25, 8.77318
26, 10.5327
27, 8.83833
28, 9.66269
29, 11.4334
30, 13.9549
31, 11.0106
32, 14.0889
33, 10.3661
34, 12.8045
35, 9.63707
36, 9.45092
37, 7.35216
38, 8.69436
39, 8.9998
40, 7.48901
41, 8.91581
42, 6.75335
43, 7.90527
44, 7.98684
45, 8.61484
46, 8.8802
47, 11.0738
48, 11.3573
49, 11.3362
50, 19.3875
51, 19.2968
52, inf
53, inf
54, inf
55, inf
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
