imgIndex, ttcCamera
1, 14.6598
2, 12.7751
3, 18.3684
4, 11.9868
5, 15.1131
6, 28.907
7, 12.9165
8, 16.4758
9, 12.463
10, 16.6988
11, 10.4941
12, 10.3295
13, 11.7076
14, 10.3991
15, 7.98372
16, 9.98815
17, 10.5883
18, 7.55056
19, 9.99897
20, 8.24069
21, 7.90346
22, 8.53471
23, 8.43762
24, 8.22899
25, 8.56015
26, 8.19703
27, 8.74184
28, 9.79743
29, 10.8393
30, 12.6617
31, 9.64658
32, 13.1511
33, 11.6781
34, 9.49276
35, 9.29643
36, 8.78349
37, 7.63551
38, 7.66871
39, 9.14835
40, 7.95891
41, 7.80452
42, 6.77126
43, 7.45423
44, 7.3407
45, 7.93841
46, 8.03107
47, 11.1612
48, 11.1407
49, 11.294
50, 23.3688
51, 19.6264
52, inf
53, inf
54, inf
55, inf
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
