imgIndex, ttcCamera
1, 14.5293
2, 13.7006
3, 13.2483
4, 11.9979
5, 16.524
6, 29.2413
7, 12.7001
8, 14.6108
9, 12.1509
10, 15.165
11, 10.0253
12, 11.5372
13, 12.3244
14, 10.2419
15, 8.43705
16, 10.7983
17, 10.1225
18, 7.44017
19, 10.6893
20, 8.44427
21, 8.19703
22, 8.94403
23, 8.52541
24, 8.10769
25, 8.4398
26, 9.08366
27, 9.05084
28, 11.8572
29, 10.2478
30, 11.4639
31, 10.4051
32, 13.3465
33, 11.4876
34, 9.80566
35, 9.55511
36, 9.08388
37, 7.28829
38, 8.01507
39, 9.34609
40, 7.61178
41, 7.77753
42, 6.72711
43, 7.4178
44, 7.75094
45, 8.34024
46, 8.37457
47, 11.3075
48, 11.0036
49, 11.8011
50, 22.8617
51, 24.2481
52, inf
53, inf
54, inf
55, inf
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
