imgIndex, ttcCamera
1, 15.1914
2, 11.8048
3, 14.6538
4, 11.3083
5, 13.7636
6, 21.7612
7, 11.2998
8, 13.7589
9, 11.2356
10, 15.9943
11, 10.8422
12, 10.5041
13, 12.384
14, 10.7801
15, 8.72871
16, 10.5345
17, 10.0595
18, 7.18368
19, 11.1543
20, 9.77353
21, 7.95293
22, 9.48576
23, 7.81823
24, 9.40421
25, 8.83176
26, 8.56863
27, 8.95941
28, 10.4317
29, 11.4148
30, 12.6784
31, 10.7503
32, 12.9831
33, 11.239
34, 11.9599
35, 9.38639
36, 9.23585
37, 7.5317
38, 8.63372
39, 8.74632
40, 7.50135
41, 8.5
42, 6.85594
43, 7.66589
44, 7.97974
45, 8.49326
46, 8.64066
47, 10.5934
48, 11.5429
49, 11.2759
50, 18.6323
51, 19.1762
52, inf
53, inf
54, inf
55, inf
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
