imgIndex, ttcCamera
1, 16.5415
2, 12.4249
3, 13.4085
4, 12.3073
5, 13.6661
6, 17.1338
7, 13.3044
8, 13.3931
9, 12.1132
10, 18.2624
11, 12.0155
12, 10.9397
13, 11.868
14, 10.0632
15, 11.6813
16, 9.7958
17, 10.8743
18, 8.00746
19, 10.801
20, 8.90815
21, 9.02214
22, 9.71623
23, 8.27671
24, 9.13502
25, 9.48041
26, 9.63249
27, 9.01307
28, 10.1545
29, 13.5725
30, 13.3689
31, 10.9456
32, 13.6193
33, 10.4413
34, 10.844
35, 9.35832
36, 9.35418
37, 7.5647
38, 10.2404
39, 9.90566
40, 8.39702
41, 8.32992
42, 6.88209
43, 8.26345
44, 8.04967
45, 8.2522
46, 9.27471
47, 11.149
48, 11.4626
49, 10.9562
50, 18.2475
51, 20.4131
52, inf
53, inf
54, inf
55, inf
56, inf
57, inf
58, inf
59, inf
60, inf
61, inf
62, inf
63, inf
64, inf
65, inf
66, inf
67, inf
68, inf
69, inf
70, inf
71, inf
72, inf
73, inf
74, inf
75, inf
76, inf
