imgIndex, ttcCamera
1, 12.2042
2, 13.6965
3, 14.6776
4, 17.4494
5, 14.3798
6, 13.059
7, 14.9468
8, 14.3173
9, 13.5212
10, 11.0001
11, 12.0428
12, 10.4329
13, 9.24629
14, 8.94513
15, 8.96338
16, 8.43281
17, 8.35557
18, 8.65072
19, 8.06395
20, 8.00403
21, 7.99067
22, 8.59767
23, 8.7792
24, 7.7608
25, 9.05264
26, 8.57939
27, 8.86097
28, 9.34857
29, 9.26659
30, 10.0541
31, 10.5158
32, 11.9393
33, 10.1714
34, 9.58967
35, 8.74913
36, 7.48651
37, 8.25238
38, 7.55324
39, 7.49064
40, 7.47497
41, 7.26934
42, 6.44282
43, 6.8732
44, 7.71464
45, 7.89778
46, 8.17532
47, 8.64932
48, 11.4644
49, 11.9031
50, 15.4666
51, 17.8669
52, 34.6141
53, 73.5097
54, 10000
55, 10000
56, 215.029
57, 10000
58, 10000
59, 10000
60, 10000
61, 10000
62, 430.455
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 3525.36
69, 10000
70, 10000
71, 10000
72, 625.108
73, 10000
74, 1783.21
75, 10180.8
76, 905.752
