imgIndex, ttcCamera
1, 12.1584
2, 13.0526
3, 13.6023
4, 17.5612
5, 14.2457
6, 12.5471
7, 14.8159
8, 14.226
9, 13.054
10, 11.0628
11, 11.6028
12, 10.5867
13, 9.24629
14, 9.10926
15, 8.57037
16, 8.20772
17, 8.68163
18, 9.01385
19, 7.76728
20, 7.9219
21, 7.45313
22, 7.94853
23, 8.32519
24, 7.74244
25, 8.53458
26, 9.01643
27, 8.75797
28, 9.66764
29, 9.33217
30, 10.0439
31, 9.75866
32, 11.1513
33, 9.96514
34, 8.95584
35, 8.40411
36, 7.44668
37, 7.49956
38, 7.35017
39, 7.46063
40, 7.00792
41, 6.75486
42, 6.13187
43, 7.03627
44, 7.79755
45, 7.59283
46, 7.88339
47, 8.74804
48, 10.1153
49, 11.6056
50, 15.2316
51, 17.6144
52, 33.3072
53, 72.8872
54, 10000
55, 10000
56, 188.652
57, 2056.82
58, 10000
59, 10000
60, 10000
61, 10000
62, 1298.76
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 842.684
69, 10000
70, 10000
71, 10000
72, 826.107
73, 10000
74, 1899.9
75, 3830.81
76, 1129.24
