imgIndex, ttcCamera
1, 11.5922
2, 13.6164
3, 13.6151
4, 18.0044
5, 14.3731
6, 12.9008
7, 16.8205
8, 13.5389
9, 13.3628
10, 11.5547
11, 11.5433
12, 10.2703
13, 9.34924
14, 9.29433
15, 8.62715
16, 8.72434
17, 8.58685
18, 8.84135
19, 7.96085
20, 8.00965
21, 7.64537
22, 8.3178
23, 8.80525
24, 7.95779
25, 9.02126
26, 9.17802
27, 9.00834
28, 10.0871
29, 9.43476
30, 10.0439
31, 9.94957
32, 12.5353
33, 10.1968
34, 9.07524
35, 8.61696
36, 7.46723
37, 7.64156
38, 7.64909
39, 7.05803
40, 6.75218
41, 6.85848
42, 6.32782
43, 7.17615
44, 7.73407
45, 7.62557
46, 8.26271
47, 9.04622
48, 10.4655
49, 11.6537
50, 15.1883
51, 18.1385
52, 34.4435
53, 72.3939
54, 10000
55, 10000
56, 460.414
57, 1674.07
58, 10000
59, 10000
60, 10000
61, 10000
62, 2748.2
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 830.344
69, 10000
70, 10000
71, 10000
72, 655.017
73, 10000
74, 2306.98
75, 1768.78
76, 968.262
