imgIndex, ttcCamera
1, 11.4855
2, 12.6052
3, 12.9087
4, 17.1778
5, 13.7539
6, 11.9658
7, 13.4983
8, 13.9144
9, 13.6095
10, 10.6289
11, 10.9016
12, 10.6168
13, 8.67537
14, 9.15958
15, 8.95922
16, 8.63566
17, 8.10537
18, 8.08816
19, 7.90502
20, 8.40869
21, 7.54116
22, 8.01842
23, 7.98748
24, 7.73268
25, 8.84665
26, 8.80823
27, 9.07419
28, 8.40584
29, 9.17168
30, 9.11959
31, 9.67215
32, 10.6257
33, 9.59601
34, 9.30003
35, 7.81285
36, 7.43906
37, 7.21869
38, 7.98137
39, 7.60308
40, 7.13628
41, 7.3045
42, 6.66951
43, 7.14654
44, 7.313
45, 7.95365
46, 8.18705
47, 8.7201
48, 9.56477
49, 11.7562
50, 14.428
51, 18.0317
52, 30.4063
53, 74.4569
54, 10000
55, 10000
56, 236.615
57, 10000
58, 10000
59, 10000
60, 10000
61, 10000
62, 10000
63, 10000
64, 10000
65, 10000
66, 10000
67, 10000
68, 4563.73
69, 10000
70, 10000
71, 10000
72, 786.949
73, 10000
74, 2594.34
75, 2750.66
76, 3738.77
