Detector AKAZE, descriptor BRISK
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, AKAZE, BRISK, 3.53702, 12.97
2, AKAZE, BRISK, 3.12757, 12.2621
3, AKAZE, BRISK, 3.90255, 13.9136
4, AKAZE, BRISK, 3.32884, 7.11506
5, AKAZE, BRISK, 3.33843, 16.2476
6, AKAZE, BRISK, 4.64037, 12.4193
7, AKAZE, BRISK, 3.54674, 34.3248
8, AKAZE, BRISK, 3.74435, 9.34259
9, AKAZE, BRISK, 3.32831, 18.1273
10, AKAZE, BRISK, 3.74843, 18.0274
11, AKAZE, BRISK, 2.91579, 16.6984
12, AKAZE, BRISK, 4.6641, 9.44291
13, AKAZE, BRISK, 3.84195, 9.22189
14, AKAZE, BRISK, 3.8651, 10.9661
15, AKAZE, BRISK, 3.84856, 8.09329
16, AKAZE, BRISK, 3.50125, 9.16462
17, AKAZE, BRISK, 4.82704, 9.85
18, AKAZE, BRISK, 2.99751, 8.30877
19, AKAZE, BRISK, 3.26625, 7.64229
20, AKAZE, BRISK, 3.20341, 4.50654
21, AKAZE, BRISK, 4.0278, 5.57195
22, AKAZE, BRISK, 4.24225, 9.6924
23, AKAZE, BRISK, 4.18413, 8.42956
24, AKAZE, BRISK, 4.10198, 6.92477
25, AKAZE, BRISK, 4.56631, 7.14685
26, AKAZE, BRISK, 4.59756, 9.97544
27, AKAZE, BRISK, 4.5146, 7.05917
28, AKAZE, BRISK, 5.90159, 12.6654
29, AKAZE, BRISK, 6.96757, 7.53236
30, AKAZE, BRISK, 5.79747, 6.9787
31, AKAZE, BRISK, 5.27962, 11.4837
32, AKAZE, BRISK, 6.68499, 3.88792
33, AKAZE, BRISK, 7.45614, 56280
34, AKAZE, BRISK, 6.05123, 7.60855
35, AKAZE, BRISK, 5.89523, 6.592
36, AKAZE, BRISK, 5.89616, 10.6273
37, AKAZE, BRISK, 6.5751, 3.46622
38, AKAZE, BRISK, 7.84909, 12.7481
39, AKAZE, BRISK, 6.68313, 6.43416
40, AKAZE, BRISK, 11.0635, 5.2067
41, AKAZE, BRISK, 6.84672, 5.16091
42, AKAZE, BRISK, 8.30533, 5.86919
43, AKAZE, BRISK, 8.68595, 14.2251
44, AKAZE, BRISK, 9.50757, 4.73753
45, AKAZE, BRISK, 8.55816, 4.45534
46, AKAZE, BRISK, 10.2023, 9.35527
47, AKAZE, BRISK, 8.78269, 6.95277
48, AKAZE, BRISK, 8.45919, 14.9616
49, AKAZE, BRISK, 11.0551, 44930
50, AKAZE, BRISK, 8.13501, 4.57972
51, AKAZE, BRISK, 11.4344, 44320
52, AKAZE, BRISK, 8.70043, 44390
53, AKAZE, BRISK, 14.4801, 15.2015
54, AKAZE, BRISK, 10.5846, 44190
55, AKAZE, BRISK, 8.47473, 44350
56, AKAZE, BRISK, 11.5586, 4.6176
57, AKAZE, BRISK, 11.9455, 44230
58, AKAZE, BRISK, 15.8535, 4.50684
59, AKAZE, BRISK, 7.85549, 43470
59, AKAZE, BRISK, 9.14487, 46020
60, AKAZE, BRISK, 10.6784, 48.1449
61, AKAZE, BRISK, 10.3939, 44270
62, AKAZE, BRISK, 7.42293, 44.1249
62, AKAZE, BRISK, 9.0286, 91.4949
63, AKAZE, BRISK, 12.3475, 5.15774
63, AKAZE, BRISK, 7.29227, 32.6197
64, AKAZE, BRISK, 11.084, 44160
64, AKAZE, BRISK, 8.80815, 46070
65, AKAZE, BRISK, 17.0551, 44230
65, AKAZE, BRISK, 8.3319, 16.3478
66, AKAZE, BRISK, 11.4416, 33.897
66, AKAZE, BRISK, 8.38591, 46040
67, AKAZE, BRISK, 11.9837, 44210
67, AKAZE, BRISK, 9.04858, 16.3371
68, AKAZE, BRISK, 9.74225, 5.56723
68, AKAZE, BRISK, 8.97738, 45990
69, AKAZE, BRISK, 10.8675, 86.5848
69, AKAZE, BRISK, 7.79853, 76.4221
70, AKAZE, BRISK, 12.615, 44100
70, AKAZE, BRISK, 8.75176, 152.503
71, AKAZE, BRISK, 11.15, 44210
71, AKAZE, BRISK, 7.56124, 65.3783
72, AKAZE, BRISK, 9.72705, 44280
72, AKAZE, BRISK, 9.0921, 46070
73, AKAZE, BRISK, 13.7708, 220.215
73, AKAZE, BRISK, 8.42692, 17.6124
74, AKAZE, BRISK, 10.0139, 5.04593
74, AKAZE, BRISK, 9.79817, 46000
75, AKAZE, BRISK, 13.3315, 44150
75, AKAZE, BRISK, 8.06738, 46030
76, AKAZE, BRISK, 10.1898, 44230
77, AKAZE, BRISK, 10.6358, 195610
