Detector AKAZE, descriptor FREAK
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, AKAZE, FREAK, 8.29084, 12.97
2, AKAZE, FREAK, 10000, 12.2621
3, AKAZE, FREAK, 130.361, 13.9136
4, AKAZE, FREAK, 10000, 7.11506
5, AKAZE, FREAK, 10.9745, 16.2476
6, AKAZE, FREAK, 10000, 12.4193
7, AKAZE, FREAK, 10000, 34.3248
8, AKAZE, FREAK, 19.1888, 9.34259
9, AKAZE, FREAK, 14.4713, 18.1273
10, AKAZE, FREAK, 6.05348, 18.0274
11, AKAZE, FREAK, 10000, 16.6984
12, AKAZE, FREAK, 11.845, 9.44291
13, AKAZE, FREAK, 10000, 9.22189
14, AKAZE, FREAK, 10000, 10.9661
15, AKAZE, FREAK, 10000, 8.09329
16, AKAZE, FREAK, 9.65925, 9.16462
17, AKAZE, FREAK, 6.78535, 9.85
18, AKAZE, FREAK, 10000, 8.30877
19, AKAZE, FREAK, 10000, 7.64229
20, AKAZE, FREAK, 9.83736, 4.50654
21, AKAZE, FREAK, 9.05136, 5.57195
22, AKAZE, FREAK, 10000, 9.6924
23, AKAZE, FREAK, 10000, 8.42956
24, AKAZE, FREAK, 7.56922, 6.92477
25, AKAZE, FREAK, 9.40919, 7.14685
26, AKAZE, FREAK, 10000, 9.97544
27, AKAZE, FREAK, 8.52939, 7.05917
28, AKAZE, FREAK, 23.2016, 12.6654
29, AKAZE, FREAK, 8.47264, 7.53236
30, AKAZE, FREAK, 10.9824, 6.9787
31, AKAZE, FREAK, 10.576, 11.4837
32, AKAZE, FREAK, 20.0148, 3.88792
33, AKAZE, FREAK, 21.9243, 56280
34, AKAZE, FREAK, 8.37912, 7.60855
35, AKAZE, FREAK, 10.6465, 6.592
36, AKAZE, FREAK, 10000, 10.6273
37, AKAZE, FREAK, 10000, 3.46622
38, AKAZE, FREAK, 10000, 12.7481
39, AKAZE, FREAK, 11.9451, 6.43416
40, AKAZE, FREAK, 8.81053, 5.2067
41, AKAZE, FREAK, 10000, 5.16091
42, AKAZE, FREAK, 6.4535, 5.86919
43, AKAZE, FREAK, 10000, 14.2251
44, AKAZE, FREAK, 10000, 4.73753
45, AKAZE, FREAK, 18.0736, 4.45534
46, AKAZE, FREAK, 10000, 9.35527
47, AKAZE, FREAK, 10000, 6.95277
48, AKAZE, FREAK, 12.3294, 14.9616
49, AKAZE, FREAK, 10000, 44930
50, AKAZE, FREAK, 10000, 4.57972
51, AKAZE, FREAK, 10000, 44320
52, AKAZE, FREAK, 62.0905, 44390
53, AKAZE, FREAK, 10000, 15.2015
54, AKAZE, FREAK, 10000, 44190
55, AKAZE, FREAK, 10000, 44350
56, AKAZE, FREAK, 10000, 4.6176
57, AKAZE, FREAK, 10000, 44230
58, AKAZE, FREAK, 10000, 4.50684
59, AKAZE, FREAK, 10000, 43470
59, AKAZE, FREAK, 10000, 46020
60, AKAZE, FREAK, 10000, 48.1449
61, AKAZE, FREAK, 10000, 44270
62, AKAZE, FREAK, 10000, 44.1249
62, AKAZE, FREAK, 23.9867, 91.4949
63, AKAZE, FREAK, 10000, 5.15774
63, AKAZE, FREAK, 10000, 32.6197
64, AKAZE, FREAK, 10000, 44160
64, AKAZE, FREAK, 10000, 46070
65, AKAZE, FREAK, 10000, 44230
65, AKAZE, FREAK, 10000, 16.3478
66, AKAZE, FREAK, 10000, 33.897
66, AKAZE, FREAK, 10000, 46040
67, AKAZE, FREAK, 10000, 44210
67, AKAZE, FREAK, 10000, 16.3371
68, AKAZE, FREAK, 10000, 5.56723
68, AKAZE, FREAK, 22.9546, 45990
69, AKAZE, FREAK, 10000, 86.5848
69, AKAZE, FREAK, 10000, 76.4221
70, AKAZE, FREAK, 10000, 44100
70, AKAZE, FREAK, 10000, 152.503
71, AKAZE, FREAK, 10000, 44210
71, AKAZE, FREAK, 10000, 65.3783
72, AKAZE, FREAK, 12466.2, 44280
72, AKAZE, FREAK, 2358.21, 46070
73, AKAZE, FREAK, 10000, 220.215
73, AKAZE, FREAK, 10000, 17.6124
74, AKAZE, FREAK, 10000, 5.04593
74, AKAZE, FREAK, 252.377, 46000
75, AKAZE, FREAK, 228.499, 44150
75, AKAZE, FREAK, 83.0199, 46030
76, AKAZE, FREAK, 564.892, 44230
77, AKAZE, FREAK, 338.921, 195610
