Detector AKAZE, descriptor SIFT
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, AKAZE, SIFT, 12.3197, 12.97
2, AKAZE, SIFT, 19.8323, 12.2621
3, AKAZE, SIFT, 24.202, 13.9136
4, AKAZE, SIFT, 11.2284, 7.11506
5, AKAZE, SIFT, 27.2132, 16.2476
6, AKAZE, SIFT, 18.7634, 12.4193
7, AKAZE, SIFT, 35.0874, 34.3248
8, AKAZE, SIFT, 12.2865, 9.34259
9, AKAZE, SIFT, 10.955, 18.1273
10, AKAZE, SIFT, 6.79158, 18.0274
11, AKAZE, SIFT, 15.0684, 16.6984
12, AKAZE, SIFT, 11.1499, 9.44291
13, AKAZE, SIFT, 11.3666, 9.22189
14, AKAZE, SIFT, 10.909, 10.9661
15, AKAZE, SIFT, 8.28634, 8.09329
16, AKAZE, SIFT, 17.1333, 9.16462
17, AKAZE, SIFT, 7.58262, 9.85
18, AKAZE, SIFT, 8.99508, 8.30877
19, AKAZE, SIFT, 9.46196, 7.64229
20, AKAZE, SIFT, 8.76559, 4.50654
21, AKAZE, SIFT, 8.82337, 5.57195
22, AKAZE, SIFT, 8.44643, 9.6924
23, AKAZE, SIFT, 8.27176, 8.42956
24, AKAZE, SIFT, 6.34955, 6.92477
25, AKAZE, SIFT, 10.388, 7.14685
26, AKAZE, SIFT, 14.809, 9.97544
27, AKAZE, SIFT, 10000, 7.05917
28, AKAZE, SIFT, 10.2619, 12.6654
29, AKAZE, SIFT, 16.5129, 7.53236
30, AKAZE, SIFT, 14.1136, 6.9787
31, AKAZE, SIFT, 10000, 11.4837
32, AKAZE, SIFT, 13.5973, 3.88792
33, AKAZE, SIFT, 10.1402, 56280
34, AKAZE, SIFT, 10.0265, 7.60855
35, AKAZE, SIFT, 8.8808, 6.592
36, AKAZE, SIFT, 8.6571, 10.6273
37, AKAZE, SIFT, 9.90111, 3.46622
38, AKAZE, SIFT, 13.047, 12.7481
39, AKAZE, SIFT, 10.3708, 6.43416
40, AKAZE, SIFT, 8.71197, 5.2067
41, AKAZE, SIFT, 12.5771, 5.16091
42, AKAZE, SIFT, 6.67653, 5.86919
43, AKAZE, SIFT, 7.94375, 14.2251
44, AKAZE, SIFT, 9.62191, 4.73753
45, AKAZE, SIFT, 7.92238, 4.45534
46, AKAZE, SIFT, 13.0275, 9.35527
47, AKAZE, SIFT, 10.5491, 6.95277
48, AKAZE, SIFT, 17.4468, 14.9616
49, AKAZE, SIFT, 14.8489, 44930
50, AKAZE, SIFT, 31.6237, 4.57972
51, AKAZE, SIFT, 25.0709, 44320
52, AKAZE, SIFT, 143.81, 44390
53, AKAZE, SIFT, 284.803, 15.2015
54, AKAZE, SIFT, 10000, 44190
55, AKAZE, SIFT, 10000, 44350
56, AKAZE, SIFT, 10000, 4.6176
57, AKAZE, SIFT, 10000, 44230
58, AKAZE, SIFT, 10000, 4.50684
59, AKAZE, SIFT, 10000, 43470
59, AKAZE, SIFT, 10000, 46020
60, AKAZE, SIFT, 2829.84, 48.1449
61, AKAZE, SIFT, 10000, 44270
62, AKAZE, SIFT, 10000, 44.1249
62, AKAZE, SIFT, 10000, 91.4949
63, AKAZE, SIFT, 10000, 5.15774
63, AKAZE, SIFT, 10000, 32.6197
64, AKAZE, SIFT, 10000, 44160
64, AKAZE, SIFT, 10000, 46070
65, AKAZE, SIFT, 10000, 44230
65, AKAZE, SIFT, 10000, 16.3478
66, AKAZE, SIFT, 10000, 33.897
66, AKAZE, SIFT, 10000, 46040
67, AKAZE, SIFT, 10000, 44210
67, AKAZE, SIFT, 10000, 16.3371
68, AKAZE, SIFT, 10000, 5.56723
68, AKAZE, SIFT, 10000, 45990
69, AKAZE, SIFT, 10000, 86.5848
69, AKAZE, SIFT, 10000, 76.4221
70, AKAZE, SIFT, 10000, 44100
70, AKAZE, SIFT, 10000, 152.503
71, AKAZE, SIFT, 10000, 44210
71, AKAZE, SIFT, 10000, 65.3783
72, AKAZE, SIFT, 10000, 44280
72, AKAZE, SIFT, 10000, 46070
73, AKAZE, SIFT, 10000, 220.215
73, AKAZE, SIFT, 688.321, 17.6124
74, AKAZE, SIFT, 10000, 5.04593
74, AKAZE, SIFT, 477.606, 46000
75, AKAZE, SIFT, 84.7533, 44150
75, AKAZE, SIFT, 209.757, 46030
76, AKAZE, SIFT, 10000, 44230
77, AKAZE, SIFT, 5288.4, 195610
