Detector BRISK, descriptor BRIEF
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, BRISK, BRIEF, 4.4376, 12.97
2, BRISK, BRIEF, 3.19217, 12.2621
3, BRISK, BRIEF, 4.42872, 13.9136
4, BRISK, BRIEF, 3.23443, 7.11506
5, BRISK, BRIEF, 3.26721, 16.2476
6, BRISK, BRIEF, 3.14206, 12.4193
7, BRISK, BRIEF, 3.89608, 34.3248
8, BRISK, BRIEF, 3.20041, 9.34259
9, BRISK, BRIEF, 3.82982, 18.1273
10, BRISK, BRIEF, 3.31781, 18.0274
11, BRISK, BRIEF, 3.87518, 16.6984
12, BRISK, BRIEF, 3.24209, 9.44291
13, BRISK, BRIEF, 3.88001, 9.22189
14, BRISK, BRIEF, 4.14055, 10.9661
15, BRISK, BRIEF, 3.37741, 8.09329
16, BRISK, BRIEF, 4.52919, 9.16462
17, BRISK, BRIEF, 3.97735, 9.85
18, BRISK, BRIEF, 4.41556, 8.30877
19, BRISK, BRIEF, 3.59557, 7.64229
20, BRISK, BRIEF, 4.09057, 4.50654
21, BRISK, BRIEF, 3.76607, 5.57195
22, BRISK, BRIEF, 3.87052, 9.6924
23, BRISK, BRIEF, 4.63486, 8.42956
24, BRISK, BRIEF, 6.53286, 6.92477
25, BRISK, BRIEF, 5.34098, 7.14685
26, BRISK, BRIEF, 6.78147, 9.97544
27, BRISK, BRIEF, 6.48161, 7.05917
28, BRISK, BRIEF, 5.97637, 12.6654
29, BRISK, BRIEF, 5.95032, 7.53236
30, BRISK, BRIEF, 6.16893, 6.9787
31, BRISK, BRIEF, 7.58085, 11.4837
32, BRISK, BRIEF, 9.62359, 3.88792
33, BRISK, BRIEF, 8.14229, 56280
34, BRISK, BRIEF, 6.2129, 7.60855
35, BRISK, BRIEF, 8.44946, 6.592
36, BRISK, BRIEF, 7.5552, 10.6273
37, BRISK, BRIEF, 7.49356, 3.46622
38, BRISK, BRIEF, 9.84558, 12.7481
39, BRISK, BRIEF, 9.17847, 6.43416
40, BRISK, BRIEF, 9.37072, 5.2067
41, BRISK, BRIEF, 9.68165, 5.16091
42, BRISK, BRIEF, 11.2204, 5.86919
43, BRISK, BRIEF, 9.47339, 14.2251
44, BRISK, BRIEF, 8.85113, 4.73753
45, BRISK, BRIEF, 10.0656, 4.45534
46, BRISK, BRIEF, 10.1205, 9.35527
47, BRISK, BRIEF, 10.6687, 6.95277
48, BRISK, BRIEF, 9.42983, 14.9616
49, BRISK, BRIEF, 11.3989, 44930
50, BRISK, BRIEF, 8.43171, 4.57972
51, BRISK, BRIEF, 6.8274, 44320
52, BRISK, BRIEF, 8.68425, 44390
53, BRISK, BRIEF, 10.7081, 15.2015
54, BRISK, BRIEF, 10.2548, 44190
55, BRISK, BRIEF, 8.97192, 44350
56, BRISK, BRIEF, 13.2807, 4.6176
57, BRISK, BRIEF, 14.6245, 44230
58, BRISK, BRIEF, 12.3419, 4.50684
59, BRISK, BRIEF, 11.1762, 43470
59, BRISK, BRIEF, 6.76015, 46020
60, BRISK, BRIEF, 10.9662, 48.1449
61, BRISK, BRIEF, 14.2384, 44270
62, BRISK, BRIEF, 8.88912, 44.1249
62, BRISK, BRIEF, 7.72208, 91.4949
63, BRISK, BRIEF, 11.7327, 5.15774
63, BRISK, BRIEF, 7.18836, 32.6197
64, BRISK, BRIEF, 11.5331, 44160
64, BRISK, BRIEF, 7.91468, 46070
65, BRISK, BRIEF, 7.61997, 44230
65, BRISK, BRIEF, 9.43246, 16.3478
66, BRISK, BRIEF, 13.4791, 33.897
66, BRISK, BRIEF, 7.34274, 46040
67, BRISK, BRIEF, 13.6039, 44210
67, BRISK, BRIEF, 8.71007, 16.3371
68, BRISK, BRIEF, 10.966, 5.56723
68, BRISK, BRIEF, 8.35775, 45990
69, BRISK, BRIEF, 13.2233, 86.5848
69, BRISK, BRIEF, 8.48481, 76.4221
70, BRISK, BRIEF, 10.0561, 44100
70, BRISK, BRIEF, 10.237, 152.503
71, BRISK, BRIEF, 11.5538, 44210
71, BRISK, BRIEF, 8.64446, 65.3783
72, BRISK, BRIEF, 9.21342, 44280
72, BRISK, BRIEF, 9.06618, 46070
73, BRISK, BRIEF, 11.5892, 220.215
73, BRISK, BRIEF, 9.14273, 17.6124
74, BRISK, BRIEF, 14.164, 5.04593
74, BRISK, BRIEF, 10.1677, 46000
75, BRISK, BRIEF, 11.1234, 44150
75, BRISK, BRIEF, 9.51014, 46030
76, BRISK, BRIEF, 12.3926, 44230
77, BRISK, BRIEF, 12.0045, 195610
