Detector BRISK, descriptor BRISK
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, BRISK, BRISK, 95.6938, 12.97
2, BRISK, BRISK, 10000, 12.2621
3, BRISK, BRISK, 11.629, 13.9136
4, BRISK, BRISK, 10.6852, 7.11506
5, BRISK, BRISK, 10000, 16.2476
6, BRISK, BRISK, 10000, 12.4193
7, BRISK, BRISK, 10000, 34.3248
8, BRISK, BRISK, 13.6519, 9.34259
9, BRISK, BRISK, 10000, 18.1273
10, BRISK, BRISK, 10000, 18.0274
11, BRISK, BRISK, 10.315, 16.6984
12, BRISK, BRISK, 10000, 9.44291
13, BRISK, BRISK, 15.5451, 9.22189
14, BRISK, BRISK, 10000, 10.9661
15, BRISK, BRISK, 8.67308, 8.09329
16, BRISK, BRISK, 10000, 9.16462
17, BRISK, BRISK, 7.05146, 9.85
18, BRISK, BRISK, 39.1972, 8.30877
19, BRISK, BRISK, 8.80525, 7.64229
20, BRISK, BRISK, 8.85937, 4.50654
21, BRISK, BRISK, 10000, 5.57195
22, BRISK, BRISK, 11.9507, 9.6924
23, BRISK, BRISK, 76.3582, 8.42956
24, BRISK, BRISK, 13.2273, 6.92477
25, BRISK, BRISK, 18.9287, 7.14685
26, BRISK, BRISK, 8.70811, 9.97544
27, BRISK, BRISK, 10000, 7.05917
28, BRISK, BRISK, 11.0874, 12.6654
29, BRISK, BRISK, 11.2942, 7.53236
30, BRISK, BRISK, 14.5652, 6.9787
31, BRISK, BRISK, 10000, 11.4837
32, BRISK, BRISK, 16.4059, 3.88792
33, BRISK, BRISK, 10000, 56280
34, BRISK, BRISK, 38.0527, 7.60855
35, BRISK, BRISK, 8.118, 6.592
36, BRISK, BRISK, 45.1359, 10.6273
37, BRISK, BRISK, 6.79409, 3.46622
38, BRISK, BRISK, 18.8141, 12.7481
39, BRISK, BRISK, 11.6899, 6.43416
40, BRISK, BRISK, 19.3803, 5.2067
41, BRISK, BRISK, 8.16007, 5.16091
42, BRISK, BRISK, 10.2041, 5.86919
43, BRISK, BRISK, 6.52792, 14.2251
44, BRISK, BRISK, 11.4274, 4.73753
45, BRISK, BRISK, 9.58354, 4.45534
46, BRISK, BRISK, 9.33482, 9.35527
47, BRISK, BRISK, 10000, 6.95277
48, BRISK, BRISK, 8.89727, 14.9616
49, BRISK, BRISK, 78.4786, 44930
50, BRISK, BRISK, 10000, 4.57972
51, BRISK, BRISK, 18.6453, 44320
52, BRISK, BRISK, 56.4674, 44390
53, BRISK, BRISK, 276.384, 15.2015
54, BRISK, BRISK, 10000, 44190
55, BRISK, BRISK, 10000, 44350
56, BRISK, BRISK, 10000, 4.6176
57, BRISK, BRISK, 10000, 44230
58, BRISK, BRISK, 10000, 4.50684
59, BRISK, BRISK, 10000, 43470
59, BRISK, BRISK, 10000, 46020
60, BRISK, BRISK, 10000, 48.1449
61, BRISK, BRISK, 10000, 44270
62, BRISK, BRISK, 10000, 44.1249
62, BRISK, BRISK, 10000, 91.4949
63, BRISK, BRISK, 381.588, 5.15774
63, BRISK, BRISK, 10000, 32.6197
64, BRISK, BRISK, 628.116, 44160
64, BRISK, BRISK, 10000, 46070
65, BRISK, BRISK, 10000, 44230
65, BRISK, BRISK, 10000, 16.3478
66, BRISK, BRISK, 1240.87, 33.897
66, BRISK, BRISK, 10000, 46040
67, BRISK, BRISK, 10000, 44210
67, BRISK, BRISK, 10000, 16.3371
68, BRISK, BRISK, 10000, 5.56723
68, BRISK, BRISK, 146.009, 45990
69, BRISK, BRISK, 10000, 86.5848
69, BRISK, BRISK, 10000, 76.4221
70, BRISK, BRISK, 10000, 44100
70, BRISK, BRISK, 10000, 152.503
71, BRISK, BRISK, 10000, 44210
71, BRISK, BRISK, 10000, 65.3783
72, BRISK, BRISK, 330.37, 44280
72, BRISK, BRISK, 10000, 46070
73, BRISK, BRISK, 10000, 220.215
73, BRISK, BRISK, 10000, 17.6124
74, BRISK, BRISK, 602.484, 5.04593
74, BRISK, BRISK, 10000, 46000
75, BRISK, BRISK, 168.152, 44150
75, BRISK, BRISK, 10000, 46030
76, BRISK, BRISK, 10000, 44230
77, BRISK, BRISK, 10000, 195610
