Detector BRISK, descriptor FREAK
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, BRISK, FREAK, 10000, 12.97
2, BRISK, FREAK, 10000, 12.2621
3, BRISK, FREAK, 10000, 13.9136
4, BRISK, FREAK, 10000, 7.11506
5, BRISK, FREAK, 5.88946, 16.2476
6, BRISK, FREAK, 10000, 12.4193
7, BRISK, FREAK, 10000, 34.3248
8, BRISK, FREAK, 12.9678, 9.34259
9, BRISK, FREAK, 10.5701, 18.1273
10, BRISK, FREAK, 5.57341, 18.0274
11, BRISK, FREAK, 17.6583, 16.6984
12, BRISK, FREAK, 8.9679, 9.44291
13, BRISK, FREAK, 12.3786, 9.22189
14, BRISK, FREAK, 16.0609, 10.9661
15, BRISK, FREAK, 12.9459, 8.09329
16, BRISK, FREAK, 10000, 9.16462
17, BRISK, FREAK, 10.1211, 9.85
18, BRISK, FREAK, 10000, 8.30877
19, BRISK, FREAK, 9.27645, 7.64229
20, BRISK, FREAK, 6.90614, 4.50654
21, BRISK, FREAK, 10000, 5.57195
22, BRISK, FREAK, 11.3648, 9.6924
23, BRISK, FREAK, 9.82025, 8.42956
24, BRISK, FREAK, 10.5673, 6.92477
25, BRISK, FREAK, 10000, 7.14685
26, BRISK, FREAK, 10000, 9.97544
27, BRISK, FREAK, 13.1361, 7.05917
28, BRISK, FREAK, 20.0904, 12.6654
29, BRISK, FREAK, 11.2369, 7.53236
30, BRISK, FREAK, 10000, 6.9787
31, BRISK, FREAK, 10000, 11.4837
32, BRISK, FREAK, 17.8108, 3.88792
33, BRISK, FREAK, 10000, 56280
34, BRISK, FREAK, 39.5262, 7.60855
35, BRISK, FREAK, 9.20374, 6.592
36, BRISK, FREAK, 10000, 10.6273
37, BRISK, FREAK, 6.8889, 3.46622
38, BRISK, FREAK, 8.08283, 12.7481
39, BRISK, FREAK, 7.54474, 6.43416
40, BRISK, FREAK, 7.90574, 5.2067
41, BRISK, FREAK, 174.648, 5.16091
42, BRISK, FREAK, 10000, 5.86919
43, BRISK, FREAK, 18.3023, 14.2251
44, BRISK, FREAK, 7.01825, 4.73753
45, BRISK, FREAK, 8.64191, 4.45534
46, BRISK, FREAK, 15.3341, 9.35527
47, BRISK, FREAK, 10000, 6.95277
48, BRISK, FREAK, 10000, 14.9616
49, BRISK, FREAK, 10000, 44930
50, BRISK, FREAK, 19.1899, 4.57972
51, BRISK, FREAK, 17.9452, 44320
52, BRISK, FREAK, 10000, 44390
53, BRISK, FREAK, 95.3664, 15.2015
54, BRISK, FREAK, 10000, 44190
55, BRISK, FREAK, 10000, 44350
56, BRISK, FREAK, 10000, 4.6176
57, BRISK, FREAK, 203.67, 44230
58, BRISK, FREAK, 10000, 4.50684
59, BRISK, FREAK, 10000, 43470
59, BRISK, FREAK, 10000, 46020
60, BRISK, FREAK, 10000, 48.1449
61, BRISK, FREAK, 10000, 44270
62, BRISK, FREAK, 10000, 44.1249
62, BRISK, FREAK, 10000, 91.4949
63, BRISK, FREAK, 10000, 5.15774
63, BRISK, FREAK, 10000, 32.6197
64, BRISK, FREAK, 10000, 44160
64, BRISK, FREAK, 10000, 46070
65, BRISK, FREAK, 10000, 44230
65, BRISK, FREAK, 10000, 16.3478
66, BRISK, FREAK, 10000, 33.897
66, BRISK, FREAK, 10000, 46040
67, BRISK, FREAK, 10000, 44210
67, BRISK, FREAK, 10000, 16.3371
68, BRISK, FREAK, 10000, 5.56723
68, BRISK, FREAK, 10000, 45990
69, BRISK, FREAK, 10000, 86.5848
69, BRISK, FREAK, 10000, 76.4221
70, BRISK, FREAK, 10000, 44100
70, BRISK, FREAK, 10000, 152.503
71, BRISK, FREAK, 10000, 44210
71, BRISK, FREAK, 10000, 65.3783
72, BRISK, FREAK, 179.717, 44280
72, BRISK, FREAK, 10000, 46070
73, BRISK, FREAK, 10000, 220.215
73, BRISK, FREAK, 611.83, 17.6124
74, BRISK, FREAK, 261.109, 5.04593
74, BRISK, FREAK, 10000, 46000
75, BRISK, FREAK, 123.487, 44150
75, BRISK, FREAK, 271.391, 46030
76, BRISK, FREAK, 10000, 44230
77, BRISK, FREAK, 10000, 195610
