Detector BRISK, descriptor ORB
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, BRISK, ORB, 18.3078, 12.97
2, BRISK, ORB, 10000, 12.2621
3, BRISK, ORB, 8.25591, 13.9136
4, BRISK, ORB, 8.70909, 7.11506
5, BRISK, ORB, 10000, 16.2476
6, BRISK, ORB, 12.4939, 12.4193
7, BRISK, ORB, 17.6742, 34.3248
8, BRISK, ORB, 10000, 9.34259
9, BRISK, ORB, 8.73977, 18.1273
10, BRISK, ORB, 10000, 18.0274
11, BRISK, ORB, 10000, 16.6984
12, BRISK, ORB, 10.6725, 9.44291
13, BRISK, ORB, 10000, 9.22189
14, BRISK, ORB, 10000, 10.9661
15, BRISK, ORB, 10000, 8.09329
16, BRISK, ORB, 10000, 9.16462
17, BRISK, ORB, 7.0319, 9.85
18, BRISK, ORB, 10.7909, 8.30877
19, BRISK, ORB, 9.33944, 7.64229
20, BRISK, ORB, 10000, 4.50654
21, BRISK, ORB, 10000, 5.57195
22, BRISK, ORB, 10000, 9.6924
23, BRISK, ORB, 10000, 8.42956
24, BRISK, ORB, 35.0004, 6.92477
25, BRISK, ORB, 25.1133, 7.14685
26, BRISK, ORB, 30.8502, 9.97544
27, BRISK, ORB, 10000, 7.05917
28, BRISK, ORB, 10000, 12.6654
29, BRISK, ORB, 12.619, 7.53236
30, BRISK, ORB, 10000, 6.9787
31, BRISK, ORB, 10000, 11.4837
32, BRISK, ORB, 13.3179, 3.88792
33, BRISK, ORB, 10000, 56280
34, BRISK, ORB, 8.77354, 7.60855
35, BRISK, ORB, 10000, 6.592
36, BRISK, ORB, 12.5913, 10.6273
37, BRISK, ORB, 123.773, 3.46622
38, BRISK, ORB, 10000, 12.7481
39, BRISK, ORB, 37.4148, 6.43416
40, BRISK, ORB, 70.2492, 5.2067
41, BRISK, ORB, 10000, 5.16091
42, BRISK, ORB, 10000, 5.86919
43, BRISK, ORB, 10000, 14.2251
44, BRISK, ORB, 18.5242, 4.73753
45, BRISK, ORB, 10000, 4.45534
46, BRISK, ORB, 16.2073, 9.35527
47, BRISK, ORB, 102.951, 6.95277
48, BRISK, ORB, 10000, 14.9616
49, BRISK, ORB, 10000, 44930
50, BRISK, ORB, 10000, 4.57972
51, BRISK, ORB, 21.7574, 44320
52, BRISK, ORB, 10000, 44390
53, BRISK, ORB, 10000, 15.2015
54, BRISK, ORB, 10000, 44190
55, BRISK, ORB, 10000, 44350
56, BRISK, ORB, 10000, 4.6176
57, BRISK, ORB, 10000, 44230
58, BRISK, ORB, 10000, 4.50684
59, BRISK, ORB, 108.606, 43470
59, BRISK, ORB, 10000, 46020
60, BRISK, ORB, 10000, 48.1449
61, BRISK, ORB, 10000, 44270
62, BRISK, ORB, 10000, 44.1249
62, BRISK, ORB, 10000, 91.4949
63, BRISK, ORB, 10000, 5.15774
63, BRISK, ORB, 10000, 32.6197
64, BRISK, ORB, 10000, 44160
64, BRISK, ORB, 10000, 46070
65, BRISK, ORB, 10000, 44230
65, BRISK, ORB, 10000, 16.3478
66, BRISK, ORB, 10000, 33.897
66, BRISK, ORB, 10000, 46040
67, BRISK, ORB, 131.239, 44210
67, BRISK, ORB, 10000, 16.3371
68, BRISK, ORB, 10000, 5.56723
68, BRISK, ORB, 10000, 45990
69, BRISK, ORB, 10000, 86.5848
69, BRISK, ORB, 10000, 76.4221
70, BRISK, ORB, 10000, 44100
70, BRISK, ORB, 10000, 152.503
71, BRISK, ORB, 10000, 44210
71, BRISK, ORB, 10000, 65.3783
72, BRISK, ORB, 10000, 44280
72, BRISK, ORB, 10000, 46070
73, BRISK, ORB, 10000, 220.215
73, BRISK, ORB, 10000, 17.6124
74, BRISK, ORB, 10000, 5.04593
74, BRISK, ORB, 10000, 46000
75, BRISK, ORB, 203.476, 44150
75, BRISK, ORB, 10000, 46030
76, BRISK, ORB, 10000, 44230
77, BRISK, ORB, 10000, 195610
