Detector FAST, descriptor AKAZE
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, FAST, BRISK, 10000, 12.97
2, FAST, BRISK, 22.2636, 12.2621
3, FAST, BRISK, 10000, 13.9136
4, FAST, BRISK, 10000, 7.11506
5, FAST, BRISK, 15.5678, 16.2476
6, FAST, BRISK, 10.7623, 12.4193
7, FAST, BRISK, 12.7948, 34.3248
8, FAST, BRISK, 10000, 9.34259
9, FAST, BRISK, 10000, 18.1273
10, FAST, BRISK, 10000, 18.0274
11, FAST, BRISK, 10000, 16.6984
12, FAST, BRISK, 10000, 9.44291
13, FAST, BRISK, 10000, 9.22189
14, FAST, BRISK, 10000, 10.9661
15, FAST, BRISK, 10000, 8.09329
16, FAST, BRISK, 10000, 9.16462
17, FAST, BRISK, 10000, 9.85
18, FAST, BRISK, 10000, 8.30877
19, FAST, BRISK, 61.667, 7.64229
20, FAST, BRISK, 10.6839, 4.50654
21, FAST, BRISK, 17.6541, 5.57195
22, FAST, BRISK, 11.4266, 9.6924
23, FAST, BRISK, 10000, 8.42956
24, FAST, BRISK, 10000, 6.92477
25, FAST, BRISK, 10000, 7.14685
26, FAST, BRISK, 10000, 9.97544
27, FAST, BRISK, 10000, 7.05917
28, FAST, BRISK, 246.74, 12.6654
29, FAST, BRISK, 10000, 7.53236
30, FAST, BRISK, 10000, 6.9787
31, FAST, BRISK, 12.8538, 11.4837
32, FAST, BRISK, 1342.39, 3.88792
33, FAST, BRISK, 10000, 56280
34, FAST, BRISK, 35.5466, 7.60855
35, FAST, BRISK, 10000, 6.592
36, FAST, BRISK, 10000, 10.6273
37, FAST, BRISK, 10000, 3.46622
38, FAST, BRISK, 10000, 12.7481
39, FAST, BRISK, 10000, 6.43416
40, FAST, BRISK, 10000, 5.2067
41, FAST, BRISK, 10000, 5.16091
42, FAST, BRISK, 10000, 5.86919
43, FAST, BRISK, 45.2198, 14.2251
44, FAST, BRISK, 10000, 4.73753
45, FAST, BRISK, 10000, 4.45534
46, FAST, BRISK, 10000, 9.35527
47, FAST, BRISK, 10000, 6.95277
48, FAST, BRISK, 11.452, 14.9616
49, FAST, BRISK, 10000, 44930
50, FAST, BRISK, 10000, 4.57972
51, FAST, BRISK, 10000, 44320
52, FAST, BRISK, 107.271, 44390
53, FAST, BRISK, 10000, 15.2015
54, FAST, BRISK, 10000, 44190
55, FAST, BRISK, 10000, 44350
56, FAST, BRISK, 10000, 4.6176
57, FAST, BRISK, 10000, 44230
58, FAST, BRISK, 10000, 4.50684
59, FAST, BRISK, 10000, 43470
59, FAST, BRISK, 10000, 46020
60, FAST, BRISK, 10000, 48.1449
61, FAST, BRISK, 10000, 44270
62, FAST, BRISK, 10000, 44.1249
62, FAST, BRISK, 10000, 91.4949
63, FAST, BRISK, 10000, 5.15774
63, FAST, BRISK, 10000, 32.6197
64, FAST, BRISK, 10000, 44160
64, FAST, BRISK, 10000, 46070
65, FAST, BRISK, 10000, 44230
65, FAST, BRISK, 158.886, 16.3478
66, FAST, BRISK, 10000, 33.897
66, FAST, BRISK, 10000, 46040
67, FAST, BRISK, 10000, 44210
67, FAST, BRISK, 10000, 16.3371
68, FAST, BRISK, 10000, 5.56723
68, FAST, BRISK, 10000, 45990
69, FAST, BRISK, 10000, 86.5848
69, FAST, BRISK, 10000, 76.4221
70, FAST, BRISK, 10000, 44100
70, FAST, BRISK, 10000, 152.503
71, FAST, BRISK, 10000, 44210
71, FAST, BRISK, 10000, 65.3783
72, FAST, BRISK, 10000, 44280
72, FAST, BRISK, 10000, 46070
73, FAST, BRISK, 10000, 220.215
73, FAST, BRISK, 10000, 17.6124
74, FAST, BRISK, 10000, 5.04593
74, FAST, BRISK, 10000, 46000
75, FAST, BRISK, 10000, 44150
75, FAST, BRISK, 10000, 46030
76, FAST, BRISK, 10000, 44230
77, FAST, BRISK, 10000, 195610
