Detector FAST, descriptor BRIEF
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, FAST, BRIEF, 9.8959, 12.97
2, FAST, BRIEF, 10000, 12.2621
3, FAST, BRIEF, 20.943, 13.9136
4, FAST, BRIEF, 10000, 7.11506
5, FAST, BRIEF, 13.7165, 16.2476
6, FAST, BRIEF, 10000, 12.4193
7, FAST, BRIEF, 10000, 34.3248
8, FAST, BRIEF, 16.2317, 9.34259
9, FAST, BRIEF, 8.39494, 18.1273
10, FAST, BRIEF, 88.8955, 18.0274
11, FAST, BRIEF, 29.05, 16.6984
12, FAST, BRIEF, 66.4681, 9.44291
13, FAST, BRIEF, 9.33028, 9.22189
14, FAST, BRIEF, 21.8843, 10.9661
15, FAST, BRIEF, 9.56235, 8.09329
16, FAST, BRIEF, 32.5237, 9.16462
17, FAST, BRIEF, 8.32161, 9.85
18, FAST, BRIEF, 19.1086, 8.30877
19, FAST, BRIEF, 10.3219, 7.64229
20, FAST, BRIEF, 8.33167, 4.50654
21, FAST, BRIEF, 9.01317, 5.57195
22, FAST, BRIEF, 12.0444, 9.6924
23, FAST, BRIEF, 9.91857, 8.42956
24, FAST, BRIEF, 21.9205, 6.92477
25, FAST, BRIEF, 28.9173, 7.14685
26, FAST, BRIEF, 9.71988, 9.97544
27, FAST, BRIEF, 149.88, 7.05917
28, FAST, BRIEF, 141.369, 12.6654
29, FAST, BRIEF, 15.5192, 7.53236
30, FAST, BRIEF, 14.7192, 6.9787
31, FAST, BRIEF, 17.1372, 11.4837
32, FAST, BRIEF, 27.2495, 3.88792
33, FAST, BRIEF, 10.9152, 56280
34, FAST, BRIEF, 61.8995, 7.60855
35, FAST, BRIEF, 14.1876, 6.592
36, FAST, BRIEF, 10000, 10.6273
37, FAST, BRIEF, 14.2416, 3.46622
38, FAST, BRIEF, 14.3084, 12.7481
39, FAST, BRIEF, 11.6795, 6.43416
40, FAST, BRIEF, 9.49275, 5.2067
41, FAST, BRIEF, 9.30547, 5.16091
42, FAST, BRIEF, 8.65859, 5.86919
43, FAST, BRIEF, 8.75127, 14.2251
44, FAST, BRIEF, 22.7069, 4.73753
45, FAST, BRIEF, 9.7164, 4.45534
46, FAST, BRIEF, 14.5366, 9.35527
47, FAST, BRIEF, 12.9916, 6.95277
48, FAST, BRIEF, 17.916, 14.9616
49, FAST, BRIEF, 18.7, 44930
50, FAST, BRIEF, 24.6525, 4.57972
51, FAST, BRIEF, 23.3003, 44320
52, FAST, BRIEF, 47.2897, 44390
53, FAST, BRIEF, 10000, 15.2015
54, FAST, BRIEF, 10000, 44190
55, FAST, BRIEF, 10000, 44350
56, FAST, BRIEF, 10000, 4.6176
57, FAST, BRIEF, 10000, 44230
58, FAST, BRIEF, 10000, 4.50684
59, FAST, BRIEF, 10000, 43470
59, FAST, BRIEF, 10000, 46020
60, FAST, BRIEF, 10000, 48.1449
61, FAST, BRIEF, 10000, 44270
62, FAST, BRIEF, 10000, 44.1249
62, FAST, BRIEF, 10000, 91.4949
63, FAST, BRIEF, 10000, 5.15774
63, FAST, BRIEF, 10000, 32.6197
64, FAST, BRIEF, 10000, 44160
64, FAST, BRIEF, 10000, 46070
65, FAST, BRIEF, 10000, 44230
65, FAST, BRIEF, 10000, 16.3478
66, FAST, BRIEF, 10000, 33.897
66, FAST, BRIEF, 10000, 46040
67, FAST, BRIEF, 10000, 44210
67, FAST, BRIEF, 10000, 16.3371
68, FAST, BRIEF, 10000, 5.56723
68, FAST, BRIEF, 10000, 45990
69, FAST, BRIEF, 10000, 86.5848
69, FAST, BRIEF, 10000, 76.4221
70, FAST, BRIEF, 10000, 44100
70, FAST, BRIEF, 10000, 152.503
71, FAST, BRIEF, 10000, 44210
71, FAST, BRIEF, 10000, 65.3783
72, FAST, BRIEF, inf, 44280
72, FAST, BRIEF, 10000, 46070
73, FAST, BRIEF, 10000, 220.215
73, FAST, BRIEF, 55.9616, 17.6124
74, FAST, BRIEF, 403.579, 5.04593
74, FAST, BRIEF, 10000, 46000
75, FAST, BRIEF, 10000, 44150
75, FAST, BRIEF, 10000, 46030
76, FAST, BRIEF, 10000, 44230
77, FAST, BRIEF, 10000, 195610
