Detector HARRIS, descriptor FREAK
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, HARRIS, FREAK, 4.26462, 12.97
2, HARRIS, FREAK, 4.59771, 12.2621
3, HARRIS, FREAK, 5.94203, 13.9136
4, HARRIS, FREAK, 10000, 7.11506
5, HARRIS, FREAK, 10000, 16.2476
6, HARRIS, FREAK, 7.10874, 12.4193
7, HARRIS, FREAK, 1.52487, 34.3248
8, HARRIS, FREAK, 10000, 9.34259
9, HARRIS, FREAK, inf, 18.1273
10, HARRIS, FREAK, 9.40871, 18.0274
11, HARRIS, FREAK, 6.46139, 16.6984
12, HARRIS, FREAK, 7.00569, 9.44291
13, HARRIS, FREAK, 10000, 9.22189
14, HARRIS, FREAK, 7.91807, 10.9661
15, HARRIS, FREAK, 7.77901, 8.09329
16, HARRIS, FREAK, 10000, 9.16462
17, HARRIS, FREAK, 6.10232, 9.85
18, HARRIS, FREAK, 4.05082, 8.30877
19, HARRIS, FREAK, 7.01274, 7.64229
20, HARRIS, FREAK, 10000, 4.50654
21, HARRIS, FREAK, 10000, 5.57195
22, HARRIS, FREAK, 12.671, 9.6924
23, HARRIS, FREAK, 5.04952, 8.42956
24, HARRIS, FREAK, 5.40565, 6.92477
25, HARRIS, FREAK, 5.00319, 7.14685
26, HARRIS, FREAK, 10000, 9.97544
27, HARRIS, FREAK, 10000, 7.05917
28, HARRIS, FREAK, 1.09257, 12.6654
29, HARRIS, FREAK, 6.30242, 7.53236
30, HARRIS, FREAK, 10000, 6.9787
31, HARRIS, FREAK, 10000, 11.4837
32, HARRIS, FREAK, 10000, 3.88792
33, HARRIS, FREAK, 16.1435, 56280
34, HARRIS, FREAK, 8.70469, 7.60855
35, HARRIS, FREAK, 10000, 6.592
36, HARRIS, FREAK, 6.29467, 10.6273
37, HARRIS, FREAK, 10000, 3.46622
38, HARRIS, FREAK, 8.5142, 12.7481
39, HARRIS, FREAK, inf, 6.43416
40, HARRIS, FREAK, 1.54228, 5.2067
41, HARRIS, FREAK, 15.4029, 5.16091
42, HARRIS, FREAK, 7.5979, 5.86919
43, HARRIS, FREAK, 15.9193, 14.2251
44, HARRIS, FREAK, 10000, 4.73753
45, HARRIS, FREAK, 10000, 4.45534
46, HARRIS, FREAK, 1094.73, 9.35527
47, HARRIS, FREAK, 273.685, 6.95277
48, HARRIS, FREAK, 9.62832, 14.9616
49, HARRIS, FREAK, 10000, 44930
50, HARRIS, FREAK, 10000, 4.57972
51, HARRIS, FREAK, 10000, 44320
52, HARRIS, FREAK, 3.79257, 44390
53, HARRIS, FREAK, 7.5, 15.2015
54, HARRIS, FREAK, 10000, 44190
55, HARRIS, FREAK, 10.4497, 44350
56, HARRIS, FREAK, 6.25289, 4.6176
57, HARRIS, FREAK, 10000, 44230
58, HARRIS, FREAK, inf, 4.50684
59, HARRIS, FREAK, inf, 43470
59, HARRIS, FREAK, 10000, 46020
60, HARRIS, FREAK, inf, 48.1449
61, HARRIS, FREAK, 53.3786, 44270
62, HARRIS, FREAK, 10000, 44.1249
62, HARRIS, FREAK, 10000, 91.4949
63, HARRIS, FREAK, inf, 5.15774
63, HARRIS, FREAK, inf, 32.6197
64, HARRIS, FREAK, 10000, 44160
64, HARRIS, FREAK, 10000, 46070
65, HARRIS, FREAK, inf, 44230
65, HARRIS, FREAK, 11.4276, 16.3478
66, HARRIS, FREAK, 133.667, 33.897
66, HARRIS, FREAK, 10000, 46040
67, HARRIS, FREAK, inf, 44210
67, HARRIS, FREAK, 10000, 16.3371
68, HARRIS, FREAK, 82.5922, 5.56723
68, HARRIS, FREAK, inf, 45990
69, HARRIS, FREAK, 10000, 86.5848
69, HARRIS, FREAK, 10000, 76.4221
70, HARRIS, FREAK, inf, 44100
70, HARRIS, FREAK, inf, 152.503
71, HARRIS, FREAK, inf, 44210
71, HARRIS, FREAK, 10000, 65.3783
72, HARRIS, FREAK, 149.829, 44280
72, HARRIS, FREAK, inf, 46070
73, HARRIS, FREAK, inf, 220.215
73, HARRIS, FREAK, inf, 17.6124
74, HARRIS, FREAK, inf, 5.04593
74, HARRIS, FREAK, inf, 46000
75, HARRIS, FREAK, inf, 44150
75, HARRIS, FREAK, 10000, 46030
76, HARRIS, FREAK, 10000, 44230
77, HARRIS, FREAK, inf, 195610
