Detector HARRIS, descriptor ORB
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, HARRIS, ORB, 3.79685, 12.97
2, HARRIS, ORB, 10000, 12.2621
3, HARRIS, ORB, 9.56862, 13.9136
4, HARRIS, ORB, 8.6458, 7.11506
5, HARRIS, ORB, 3.17077, 16.2476
6, HARRIS, ORB, 1.57723, 12.4193
7, HARRIS, ORB, 3.13931, 34.3248
8, HARRIS, ORB, 1.29104, 9.34259
9, HARRIS, ORB, 1.90257, 18.1273
10, HARRIS, ORB, 4.07072, 18.0274
11, HARRIS, ORB, 1.54493, 16.6984
12, HARRIS, ORB, 3.38302, 9.44291
13, HARRIS, ORB, 2.41296, 9.22189
14, HARRIS, ORB, 4.70683, 10.9661
15, HARRIS, ORB, 3.62174, 8.09329
16, HARRIS, ORB, 9.24514, 9.16462
17, HARRIS, ORB, 10000, 9.85
18, HARRIS, ORB, 8.74889, 8.30877
19, HARRIS, ORB, 4.71796, 7.64229
20, HARRIS, ORB, 4.31892, 4.50654
21, HARRIS, ORB, 4.98671, 5.57195
22, HARRIS, ORB, 10000, 9.6924
23, HARRIS, ORB, 2.31916, 8.42956
24, HARRIS, ORB, 8.75973, 6.92477
25, HARRIS, ORB, 4.68286, 7.14685
26, HARRIS, ORB, 5.24855, 9.97544
27, HARRIS, ORB, 6.19305, 7.05917
28, HARRIS, ORB, 3.19036, 12.6654
29, HARRIS, ORB, 11.8887, 7.53236
30, HARRIS, ORB, 9.89396, 6.9787
31, HARRIS, ORB, 10000, 11.4837
32, HARRIS, ORB, 10000, 3.88792
33, HARRIS, ORB, 8.62633, 56280
34, HARRIS, ORB, 10000, 7.60855
35, HARRIS, ORB, 1.59256, 6.592
36, HARRIS, ORB, 11.9922, 10.6273
37, HARRIS, ORB, 10000, 3.46622
38, HARRIS, ORB, 6.21933, 12.7481
39, HARRIS, ORB, 16.3245, 6.43416
40, HARRIS, ORB, 2.95625, 5.2067
41, HARRIS, ORB, 12.4133, 5.16091
42, HARRIS, ORB, 8.07336, 5.86919
43, HARRIS, ORB, 14.9787, 14.2251
44, HARRIS, ORB, 8.6525, 4.73753
45, HARRIS, ORB, 6.45462, 4.45534
46, HARRIS, ORB, 6.8522, 9.35527
47, HARRIS, ORB, 18.9875, 6.95277
48, HARRIS, ORB, 7.05922, 14.9616
49, HARRIS, ORB, 6.85937, 44930
50, HARRIS, ORB, 10.846, 4.57972
51, HARRIS, ORB, 5.6531, 44320
52, HARRIS, ORB, 3.12578, 44390
53, HARRIS, ORB, 13.4258, 15.2015
54, HARRIS, ORB, 9.74197, 44190
55, HARRIS, ORB, 6.14819, 44350
56, HARRIS, ORB, 6.62733, 4.6176
57, HARRIS, ORB, 6.81647, 44230
58, HARRIS, ORB, 8.98874, 4.50684
59, HARRIS, ORB, 2.56876, 43470
59, HARRIS, ORB, 5.69063, 46020
60, HARRIS, ORB, 10.2238, 48.1449
61, HARRIS, ORB, 5.98084, 44270
62, HARRIS, ORB, 11.4043, 44.1249
62, HARRIS, ORB, 11.8517, 91.4949
63, HARRIS, ORB, 16.0749, 5.15774
63, HARRIS, ORB, 11.1303, 32.6197
64, HARRIS, ORB, 2.93895, 44160
64, HARRIS, ORB, 8.52466, 46070
65, HARRIS, ORB, 10.0565, 44230
65, HARRIS, ORB, 20.5677, 16.3478
66, HARRIS, ORB, 6.01855, 33.897
66, HARRIS, ORB, 9.32089, 46040
67, HARRIS, ORB, 6.51967, 44210
67, HARRIS, ORB, 5.67627, 16.3371
68, HARRIS, ORB, 9.88952, 5.56723
68, HARRIS, ORB, 12.0525, 45990
69, HARRIS, ORB, 5.64578, 86.5848
69, HARRIS, ORB, 11.3913, 76.4221
70, HARRIS, ORB, 6.95191, 44100
70, HARRIS, ORB, 12.8307, 152.503
71, HARRIS, ORB, 10.5262, 44210
71, HARRIS, ORB, 40.0456, 65.3783
72, HARRIS, ORB, 8.06853, 44280
72, HARRIS, ORB, 11.0387, 46070
73, HARRIS, ORB, 7.66293, 220.215
73, HARRIS, ORB, 16.0319, 17.6124
74, HARRIS, ORB, 8.39379, 5.04593
74, HARRIS, ORB, 10.2783, 46000
75, HARRIS, ORB, 7.03239, 44150
75, HARRIS, ORB, 27.3682, 46030
76, HARRIS, ORB, 13.0841, 44230
77, HARRIS, ORB, 5.71684, 195610
