Detector HARRIS, descriptor SIFT
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, HARRIS, SIFT, 2.59182, 12.97
2, HARRIS, SIFT, 10000, 12.2621
3, HARRIS, SIFT, 2.8557, 13.9136
4, HARRIS, SIFT, 12.5506, 7.11506
5, HARRIS, SIFT, 2.44637, 16.2476
6, HARRIS, SIFT, 3.30579, 12.4193
7, HARRIS, SIFT, 2.41471, 34.3248
8, HARRIS, SIFT, 1.0511, 9.34259
9, HARRIS, SIFT, 1.83876, 18.1273
10, HARRIS, SIFT, 3.21052, 18.0274
11, HARRIS, SIFT, 10000, 16.6984
12, HARRIS, SIFT, 3.38302, 9.44291
13, HARRIS, SIFT, 3.77661, 9.22189
14, HARRIS, SIFT, 2.06999, 10.9661
15, HARRIS, SIFT, 14.697, 8.09329
16, HARRIS, SIFT, 3.58325, 9.16462
17, HARRIS, SIFT, 10000, 9.85
18, HARRIS, SIFT, 4.19013, 8.30877
19, HARRIS, SIFT, 5.15091, 7.64229
20, HARRIS, SIFT, 4.99285, 4.50654
21, HARRIS, SIFT, 23.4027, 5.57195
22, HARRIS, SIFT, 10000, 9.6924
23, HARRIS, SIFT, -nan, 8.42956
24, HARRIS, SIFT, 13.1915, 6.92477
25, HARRIS, SIFT, 4.54013, 7.14685
26, HARRIS, SIFT, 3.9985, 9.97544
27, HARRIS, SIFT, 4.54839, 7.05917
28, HARRIS, SIFT, 4.8025, 12.6654
29, HARRIS, SIFT, 7.95923, 7.53236
30, HARRIS, SIFT, 5.81553, 6.9787
31, HARRIS, SIFT, 10000, 11.4837
32, HARRIS, SIFT, 12.218, 3.88792
33, HARRIS, SIFT, 5.32967, 56280
34, HARRIS, SIFT, 10000, 7.60855
35, HARRIS, SIFT, 1.69734, 6.592
36, HARRIS, SIFT, 2.68504, 10.6273
37, HARRIS, SIFT, 10000, 3.46622
38, HARRIS, SIFT, 5.12952, 12.7481
39, HARRIS, SIFT, 9.69424, 6.43416
40, HARRIS, SIFT, 5.53958, 5.2067
41, HARRIS, SIFT, 9.06671, 5.16091
42, HARRIS, SIFT, 6.43392, 5.86919
43, HARRIS, SIFT, 26.1001, 14.2251
44, HARRIS, SIFT, 8.81856, 4.73753
45, HARRIS, SIFT, 5.75507, 4.45534
46, HARRIS, SIFT, 7.66834, 9.35527
47, HARRIS, SIFT, 11.4777, 6.95277
48, HARRIS, SIFT, 5.74353, 14.9616
49, HARRIS, SIFT, 8.94028, 44930
50, HARRIS, SIFT, 10000, 4.57972
51, HARRIS, SIFT, 3.55598, 44320
52, HARRIS, SIFT, 6.09745, 44390
53, HARRIS, SIFT, 13.5936, 15.2015
54, HARRIS, SIFT, 10.1224, 44190
55, HARRIS, SIFT, 5.55344, 44350
56, HARRIS, SIFT, 5.99256, 4.6176
57, HARRIS, SIFT, 9.89732, 44230
58, HARRIS, SIFT, 6.68376, 4.50684
59, HARRIS, SIFT, 2.5907, 43470
59, HARRIS, SIFT, 4.6925, 46020
60, HARRIS, SIFT, 12.5517, 48.1449
61, HARRIS, SIFT, 8.87082, 44270
62, HARRIS, SIFT, 8.70566, 44.1249
62, HARRIS, SIFT, 5.72772, 91.4949
63, HARRIS, SIFT, 18.2428, 5.15774
63, HARRIS, SIFT, 11.4817, 32.6197
64, HARRIS, SIFT, 3.47489, 44160
64, HARRIS, SIFT, 4.91292, 46070
65, HARRIS, SIFT, 6.95969, 44230
65, HARRIS, SIFT, 12.5833, 16.3478
66, HARRIS, SIFT, 6.27149, 33.897
66, HARRIS, SIFT, 14.1974, 46040
67, HARRIS, SIFT, 14.1548, 44210
67, HARRIS, SIFT, 10.1932, 16.3371
68, HARRIS, SIFT, 10.119, 5.56723
68, HARRIS, SIFT, 11.9326, 45990
69, HARRIS, SIFT, 4.49583, 86.5848
69, HARRIS, SIFT, 6.0571, 76.4221
70, HARRIS, SIFT, 9.40432, 44100
70, HARRIS, SIFT, 15.8889, 152.503
71, HARRIS, SIFT, 10.5262, 44210
71, HARRIS, SIFT, 19.44, 65.3783
72, HARRIS, SIFT, 8.06853, 44280
72, HARRIS, SIFT, 11.0387, 46070
73, HARRIS, SIFT, 9.93416, 220.215
73, HARRIS, SIFT, 11.7087, 17.6124
74, HARRIS, SIFT, 7.94421, 5.04593
74, HARRIS, SIFT, 15.2017, 46000
75, HARRIS, SIFT, 7.54683, 44150
75, HARRIS, SIFT, 21.9635, 46030
76, HARRIS, SIFT, 9.82223, 44230
77, HARRIS, SIFT, 6.14316, 195610
