Detector ORB, descriptor AKAZE
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, ORB, BRISK, 7.69702, 12.97
2, ORB, BRISK, 10000, 12.2621
3, ORB, BRISK, 4.38604, 13.9136
4, ORB, BRISK, 12.3304, 7.11506
5, ORB, BRISK, 3.52604, 16.2476
6, ORB, BRISK, 10000, 12.4193
7, ORB, BRISK, 10000, 34.3248
8, ORB, BRISK, 8.67027, 9.34259
9, ORB, BRISK, 17.545, 18.1273
10, ORB, BRISK, inf, 18.0274
11, ORB, BRISK, 45.6772, 16.6984
12, ORB, BRISK, 6.3632, 9.44291
13, ORB, BRISK, 10000, 9.22189
14, ORB, BRISK, 14.2051, 10.9661
15, ORB, BRISK, 5.95045, 8.09329
16, ORB, BRISK, 35.6025, 9.16462
17, ORB, BRISK, 5.75243, 9.85
18, ORB, BRISK, 4.54404, 8.30877
19, ORB, BRISK, 4.40116, 7.64229
20, ORB, BRISK, 7.00791, 4.50654
21, ORB, BRISK, 17.0856, 5.57195
22, ORB, BRISK, 10000, 9.6924
23, ORB, BRISK, 18.6517, 8.42956
24, ORB, BRISK, 6.17201, 6.92477
25, ORB, BRISK, 10000, 7.14685
26, ORB, BRISK, 20.0867, 9.97544
27, ORB, BRISK, 20.4406, 7.05917
28, ORB, BRISK, 2611.45, 12.6654
29, ORB, BRISK, 10000, 7.53236
30, ORB, BRISK, 10000, 6.9787
31, ORB, BRISK, 63.9239, 11.4837
32, ORB, BRISK, 5.9639, 3.88792
33, ORB, BRISK, 17.297, 56280
34, ORB, BRISK, 9.56596, 7.60855
35, ORB, BRISK, 11.3363, 6.592
36, ORB, BRISK, 8.1146, 10.6273
37, ORB, BRISK, 8.43718, 3.46622
38, ORB, BRISK, 6.35432, 12.7481
39, ORB, BRISK, 13.4953, 6.43416
40, ORB, BRISK, 12.8307, 5.2067
41, ORB, BRISK, 8.7062, 5.16091
42, ORB, BRISK, 6.00071, 5.86919
43, ORB, BRISK, 6.51016, 14.2251
44, ORB, BRISK, 11.8715, 4.73753
45, ORB, BRISK, 111.405, 4.45534
46, ORB, BRISK, 10.6813, 9.35527
47, ORB, BRISK, 23.1966, 6.95277
48, ORB, BRISK, 10000, 14.9616
49, ORB, BRISK, 14.1586, 44930
50, ORB, BRISK, 13.862, 4.57972
51, ORB, BRISK, 30.3568, 44320
52, ORB, BRISK, 327.11, 44390
53, ORB, BRISK, 21.9517, 15.2015
54, ORB, BRISK, 188.967, 44190
55, ORB, BRISK, 10000, 44350
56, ORB, BRISK, 60.7808, 4.6176
57, ORB, BRISK, 144.467, 44230
58, ORB, BRISK, 10000, 4.50684
59, ORB, BRISK, 57.5596, 43470
59, ORB, BRISK, 13.5722, 46020
60, ORB, BRISK, inf, 48.1449
61, ORB, BRISK, 128.243, 44270
62, ORB, BRISK, 31.5051, 44.1249
62, ORB, BRISK, 7.09198, 91.4949
63, ORB, BRISK, 10000, 5.15774
63, ORB, BRISK, 10000, 32.6197
64, ORB, BRISK, 10000, 44160
64, ORB, BRISK, 10000, 46070
65, ORB, BRISK, inf, 44230
65, ORB, BRISK, 23.6556, 16.3478
66, ORB, BRISK, 10000, 33.897
66, ORB, BRISK, 10000, 46040
67, ORB, BRISK, 10000, 44210
67, ORB, BRISK, 10000, 16.3371
68, ORB, BRISK, 250.089, 5.56723
68, ORB, BRISK, 10000, 45990
69, ORB, BRISK, 10000, 86.5848
69, ORB, BRISK, 10000, 76.4221
70, ORB, BRISK, inf, 44100
70, ORB, BRISK, 10000, 152.503
71, ORB, BRISK, 10000, 44210
71, ORB, BRISK, 24.0612, 65.3783
72, ORB, BRISK, 10000, 44280
72, ORB, BRISK, inf, 46070
73, ORB, BRISK, inf, 220.215
73, ORB, BRISK, inf, 17.6124
74, ORB, BRISK, inf, 5.04593
74, ORB, BRISK, 10000, 46000
75, ORB, BRISK, inf, 44150
75, ORB, BRISK, 10000, 46030
76, ORB, BRISK, 54.6872, 44230
77, ORB, BRISK, 10000, 195610
