Detector ORB, descriptor BRIEF
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, ORB, BRIEF, 5.12626, 12.97
2, ORB, BRIEF, 10000, 12.2621
3, ORB, BRIEF, 6.40893, 13.9136
4, ORB, BRIEF, 10000, 7.11506
5, ORB, BRIEF, 10000, 16.2476
6, ORB, BRIEF, 84.6613, 12.4193
7, ORB, BRIEF, 10000, 34.3248
8, ORB, BRIEF, 7.6935, 9.34259
9, ORB, BRIEF, 9.42939, 18.1273
10, ORB, BRIEF, 10000, 18.0274
11, ORB, BRIEF, 32.4575, 16.6984
12, ORB, BRIEF, 15.9646, 9.44291
13, ORB, BRIEF, 4.4244, 9.22189
14, ORB, BRIEF, 6.27883, 10.9661
15, ORB, BRIEF, 5.54739, 8.09329
16, ORB, BRIEF, 4.476, 9.16462
17, ORB, BRIEF, 16.7122, 9.85
18, ORB, BRIEF, 4.10723, 8.30877
19, ORB, BRIEF, 10000, 7.64229
20, ORB, BRIEF, 8.31851, 4.50654
21, ORB, BRIEF, 6.84658, 5.57195
22, ORB, BRIEF, 16.4767, 9.6924
23, ORB, BRIEF, 12.1076, 8.42956
24, ORB, BRIEF, 8.23535, 6.92477
25, ORB, BRIEF, 6.2298, 7.14685
26, ORB, BRIEF, 16.9907, 9.97544
27, ORB, BRIEF, 10000, 7.05917
28, ORB, BRIEF, 12.1276, 12.6654
29, ORB, BRIEF, 29.862, 7.53236
30, ORB, BRIEF, 11.5656, 6.9787
31, ORB, BRIEF, 31.9325, 11.4837
32, ORB, BRIEF, 10.6761, 3.88792
33, ORB, BRIEF, 7.05972, 56280
34, ORB, BRIEF, 7.69744, 7.60855
35, ORB, BRIEF, 7.50646, 6.592
36, ORB, BRIEF, 4.77173, 10.6273
37, ORB, BRIEF, 10000, 3.46622
38, ORB, BRIEF, 5.16768, 12.7481
39, ORB, BRIEF, 15.2624, 6.43416
40, ORB, BRIEF, 7.54628, 5.2067
41, ORB, BRIEF, 9.54085, 5.16091
42, ORB, BRIEF, 4.17222, 5.86919
43, ORB, BRIEF, 6.92561, 14.2251
44, ORB, BRIEF, 8.19903, 4.73753
45, ORB, BRIEF, 19.7009, 4.45534
46, ORB, BRIEF, 2596.87, 9.35527
47, ORB, BRIEF, 13.6761, 6.95277
48, ORB, BRIEF, 10000, 14.9616
49, ORB, BRIEF, 19.1931, 44930
50, ORB, BRIEF, 17.0861, 4.57972
51, ORB, BRIEF, inf, 44320
52, ORB, BRIEF, 10000, 44390
53, ORB, BRIEF, 10000, 15.2015
54, ORB, BRIEF, 10000, 44190
55, ORB, BRIEF, 10000, 44350
56, ORB, BRIEF, 10000, 4.6176
57, ORB, BRIEF, 10000, 44230
58, ORB, BRIEF, 10000, 4.50684
59, ORB, BRIEF, 10000, 43470
59, ORB, BRIEF, 10000, 46020
60, ORB, BRIEF, 10000, 48.1449
61, ORB, BRIEF, 10000, 44270
62, ORB, BRIEF, 10000, 44.1249
62, ORB, BRIEF, 10000, 91.4949
63, ORB, BRIEF, 10000, 5.15774
63, ORB, BRIEF, 19.158, 32.6197
64, ORB, BRIEF, 10000, 44160
64, ORB, BRIEF, 38.4831, 46070
65, ORB, BRIEF, 10000, 44230
65, ORB, BRIEF, 10000, 16.3478
66, ORB, BRIEF, 10000, 33.897
66, ORB, BRIEF, 20.8616, 46040
67, ORB, BRIEF, 380.617, 44210
67, ORB, BRIEF, 57.8404, 16.3371
68, ORB, BRIEF, inf, 5.56723
68, ORB, BRIEF, inf, 45990
69, ORB, BRIEF, 10000, 86.5848
69, ORB, BRIEF, inf, 76.4221
70, ORB, BRIEF, 222.711, 44100
70, ORB, BRIEF, inf, 152.503
71, ORB, BRIEF, 25.631, 44210
71, ORB, BRIEF, 9.27963, 65.3783
72, ORB, BRIEF, 10000, 44280
72, ORB, BRIEF, inf, 46070
73, ORB, BRIEF, 10000, 220.215
73, ORB, BRIEF, inf, 17.6124
74, ORB, BRIEF, 949.73, 5.04593
74, ORB, BRIEF, inf, 46000
75, ORB, BRIEF, 149.62, 44150
75, ORB, BRIEF, inf, 46030
76, ORB, BRIEF, inf, 44230
77, ORB, BRIEF, inf, 195610
