Detector ORB, descriptor ORB
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, ORB, ORB, 27.3683, 12.97
2, ORB, ORB, 10000, 12.2621
3, ORB, ORB, 8.0136, 13.9136
4, ORB, ORB, 10000, 7.11506
5, ORB, ORB, 17.164, 16.2476
6, ORB, ORB, 10000, 12.4193
7, ORB, ORB, 67.6105, 34.3248
8, ORB, ORB, 5.91275, 9.34259
9, ORB, ORB, 10000, 18.1273
10, ORB, ORB, 4.32058, 18.0274
11, ORB, ORB, 10000, 16.6984
12, ORB, ORB, 20.5814, 9.44291
13, ORB, ORB, 7.5443, 9.22189
14, ORB, ORB, 29.4787, 10.9661
15, ORB, ORB, 20.2231, 8.09329
16, ORB, ORB, 8.99995, 9.16462
17, ORB, ORB, 4.48398, 9.85
18, ORB, ORB, 15.6666, 8.30877
19, ORB, ORB, 11.0649, 7.64229
20, ORB, ORB, 6.00125, 4.50654
21, ORB, ORB, 9.06177, 5.57195
22, ORB, ORB, 10000, 9.6924
23, ORB, ORB, 10000, 8.42956
24, ORB, ORB, 5.26944, 6.92477
25, ORB, ORB, 10000, 7.14685
26, ORB, ORB, 35.3719, 9.97544
27, ORB, ORB, 10000, 7.05917
28, ORB, ORB, 23.2429, 12.6654
29, ORB, ORB, 10000, 7.53236
30, ORB, ORB, 10000, 6.9787
31, ORB, ORB, 10000, 11.4837
32, ORB, ORB, 10000, 3.88792
33, ORB, ORB, 10000, 56280
34, ORB, ORB, 10.2585, 7.60855
35, ORB, ORB, 18.4868, 6.592
36, ORB, ORB, 8.57113, 10.6273
37, ORB, ORB, 4.20801, 3.46622
38, ORB, ORB, 10000, 12.7481
39, ORB, ORB, 8.63145, 6.43416
40, ORB, ORB, 6.35847, 5.2067
41, ORB, ORB, 6.26474, 5.16091
42, ORB, ORB, 5.81514, 5.86919
43, ORB, ORB, 7.17284, 14.2251
44, ORB, ORB, 17.0836, 4.73753
45, ORB, ORB, 6.64471, 4.45534
46, ORB, ORB, 38.3659, 9.35527
47, ORB, ORB, 15.7147, 6.95277
48, ORB, ORB, 11.4645, 14.9616
49, ORB, ORB, 13.0694, 44930
50, ORB, ORB, 30.7991, 4.57972
51, ORB, ORB, 25.871, 44320
52, ORB, ORB, 387.132, 44390
53, ORB, ORB, 10000, 15.2015
54, ORB, ORB, 34.1655, 44190
55, ORB, ORB, 10000, 44350
56, ORB, ORB, 24.7992, 4.6176
57, ORB, ORB, inf, 44230
58, ORB, ORB, 10000, 4.50684
59, ORB, ORB, 15.2076, 43470
59, ORB, ORB, 10000, 46020
60, ORB, ORB, 10000, 48.1449
61, ORB, ORB, 10000, 44270
62, ORB, ORB, 10000, 44.1249
62, ORB, ORB, 32.7554, 91.4949
63, ORB, ORB, 10000, 5.15774
63, ORB, ORB, 10000, 32.6197
64, ORB, ORB, 10000, 44160
64, ORB, ORB, 10000, 46070
65, ORB, ORB, 127.32, 44230
65, ORB, ORB, 10000, 16.3478
66, ORB, ORB, 10000, 33.897
66, ORB, ORB, 10000, 46040
67, ORB, ORB, 10000, 44210
67, ORB, ORB, 10000, 16.3371
68, ORB, ORB, 10000, 5.56723
68, ORB, ORB, 25.5052, 45990
69, ORB, ORB, 10000, 86.5848
69, ORB, ORB, 10000, 76.4221
70, ORB, ORB, 10000, 44100
70, ORB, ORB, 10000, 152.503
71, ORB, ORB, 10000, 44210
71, ORB, ORB, 10000, 65.3783
72, ORB, ORB, 39.3335, 44280
72, ORB, ORB, inf, 46070
73, ORB, ORB, 10000, 220.215
73, ORB, ORB, 100.343, 17.6124
74, ORB, ORB, 100.865, 5.04593
74, ORB, ORB, 10000, 46000
75, ORB, ORB, 10000, 44150
75, ORB, ORB, inf, 46030
76, ORB, ORB, 83.1568, 44230
77, ORB, ORB, inf, 195610
