Detector SHITOMASI, descriptor BRISK
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, SHITOMASI, BRISK, 2.7892, 12.97
2, SHITOMASI, BRISK, 3.06036, 12.2621
3, SHITOMASI, BRISK, 3.44232, 13.9136
4, SHITOMASI, BRISK, 2.39778, 7.11506
5, SHITOMASI, BRISK, 2.80434, 16.2476
6, SHITOMASI, BRISK, 2.90066, 12.4193
7, SHITOMASI, BRISK, 2.42437, 34.3248
8, SHITOMASI, BRISK, 2.39242, 9.34259
9, SHITOMASI, BRISK, 2.43983, 18.1273
10, SHITOMASI, BRISK, 3.40184, 18.0274
11, SHITOMASI, BRISK, 4.28267, 16.6984
12, SHITOMASI, BRISK, 2.77144, 9.44291
13, SHITOMASI, BRISK, 2.93564, 9.22189
14, SHITOMASI, BRISK, 3.88424, 10.9661
15, SHITOMASI, BRISK, 3.95578, 8.09329
16, SHITOMASI, BRISK, 3.00212, 9.16462
17, SHITOMASI, BRISK, 3.14534, 9.85
18, SHITOMASI, BRISK, 3.24036, 8.30877
19, SHITOMASI, BRISK, 3.49693, 7.64229
20, SHITOMASI, BRISK, 3.28004, 4.50654
21, SHITOMASI, BRISK, 3.7653, 5.57195
22, SHITOMASI, BRISK, 3.80464, 9.6924
23, SHITOMASI, BRISK, 4.00877, 8.42956
24, SHITOMASI, BRISK, 4.54108, 6.92477
25, SHITOMASI, BRISK, 4.73183, 7.14685
26, SHITOMASI, BRISK, 6.03305, 9.97544
27, SHITOMASI, BRISK, 3.77236, 7.05917
28, SHITOMASI, BRISK, 5.37202, 12.6654
29, SHITOMASI, BRISK, 5.67419, 7.53236
30, SHITOMASI, BRISK, 4.71007, 6.9787
31, SHITOMASI, BRISK, 5.00808, 11.4837
32, SHITOMASI, BRISK, 4.92804, 3.88792
33, SHITOMASI, BRISK, 5.33337, 56280
34, SHITOMASI, BRISK, 5.99634, 7.60855
35, SHITOMASI, BRISK, 5.80012, 6.592
36, SHITOMASI, BRISK, 5.52025, 10.6273
37, SHITOMASI, BRISK, 4.97246, 3.46622
38, SHITOMASI, BRISK, 7.0512, 12.7481
39, SHITOMASI, BRISK, 6.5946, 6.43416
40, SHITOMASI, BRISK, 8.06141, 5.2067
41, SHITOMASI, BRISK, 6.16443, 5.16091
42, SHITOMASI, BRISK, 8.38628, 5.86919
43, SHITOMASI, BRISK, 6.19281, 14.2251
44, SHITOMASI, BRISK, 7.03781, 4.73753
45, SHITOMASI, BRISK, 6.57555, 4.45534
46, SHITOMASI, BRISK, 7.20467, 9.35527
47, SHITOMASI, BRISK, 8.92324, 6.95277
48, SHITOMASI, BRISK, 8.56899, 14.9616
49, SHITOMASI, BRISK, 6.44846, 44930
50, SHITOMASI, BRISK, 6.95234, 4.57972
51, SHITOMASI, BRISK, 8.6375, 44320
52, SHITOMASI, BRISK, 7.36189, 44390
53, SHITOMASI, BRISK, 7.88019, 15.2015
54, SHITOMASI, BRISK, 7.67241, 44190
55, SHITOMASI, BRISK, 7.52808, 44350
56, SHITOMASI, BRISK, 7.82535, 4.6176
57, SHITOMASI, BRISK, 8.77627, 44230
58, SHITOMASI, BRISK, 6.84881, 4.50684
59, SHITOMASI, BRISK, 9.40395, 43470
59, SHITOMASI, BRISK, 21.5555, 46020
60, SHITOMASI, BRISK, 7.22506, 48.1449
61, SHITOMASI, BRISK, 8.31592, 44270
62, SHITOMASI, BRISK, 7.14223, 44.1249
62, SHITOMASI, BRISK, 29.9706, 91.4949
63, SHITOMASI, BRISK, 7.41821, 5.15774
63, SHITOMASI, BRISK, 25.1927, 32.6197
64, SHITOMASI, BRISK, 6.67911, 44160
64, SHITOMASI, BRISK, 20.2279, 46070
65, SHITOMASI, BRISK, 8.46689, 44230
65, SHITOMASI, BRISK, 20.6967, 16.3478
66, SHITOMASI, BRISK, 6.9978, 33.897
66, SHITOMASI, BRISK, 25.6755, 46040
67, SHITOMASI, BRISK, 7.39172, 44210
67, SHITOMASI, BRISK, 24.7507, 16.3371
68, SHITOMASI, BRISK, 8.14591, 5.56723
68, SHITOMASI, BRISK, 20.8037, 45990
69, SHITOMASI, BRISK, 7.00554, 86.5848
69, SHITOMASI, BRISK, 26.0552, 76.4221
70, SHITOMASI, BRISK, 8.1263, 44100
70, SHITOMASI, BRISK, 29.1263, 152.503
71, SHITOMASI, BRISK, 7.91836, 44210
71, SHITOMASI, BRISK, 20.9342, 65.3783
72, SHITOMASI, BRISK, 7.48484, 44280
72, SHITOMASI, BRISK, 26.5507, 46070
73, SHITOMASI, BRISK, 8.76451, 220.215
73, SHITOMASI, BRISK, 21.5822, 17.6124
74, SHITOMASI, BRISK, 8.379, 5.04593
74, SHITOMASI, BRISK, 21.6996, 46000
75, SHITOMASI, BRISK, 8.85808, 44150
75, SHITOMASI, BRISK, 23.2798, 46030
76, SHITOMASI, BRISK, 7.20829, 44230
77, SHITOMASI, BRISK, 7.93541, 195610
