Detector SHITOMASI, descriptor FREAK
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, SHITOMASI, FREAK, 2.62468, 12.97
2, SHITOMASI, FREAK, 2.96179, 12.2621
3, SHITOMASI, FREAK, 3.61805, 13.9136
4, SHITOMASI, FREAK, 2.87763, 7.11506
5, SHITOMASI, FREAK, 3.2322, 16.2476
6, SHITOMASI, FREAK, 3.16523, 12.4193
7, SHITOMASI, FREAK, 2.72727, 34.3248
8, SHITOMASI, FREAK, 3.17569, 9.34259
9, SHITOMASI, FREAK, 3.84784, 18.1273
10, SHITOMASI, FREAK, 3.87391, 18.0274
11, SHITOMASI, FREAK, 3.66934, 16.6984
12, SHITOMASI, FREAK, 3.5677, 9.44291
13, SHITOMASI, FREAK, 4.57506, 9.22189
14, SHITOMASI, FREAK, 3.94444, 10.9661
15, SHITOMASI, FREAK, 3.80826, 8.09329
16, SHITOMASI, FREAK, 3.25593, 9.16462
17, SHITOMASI, FREAK, 3.11083, 9.85
18, SHITOMASI, FREAK, 2.94193, 8.30877
19, SHITOMASI, FREAK, 3.23744, 7.64229
20, SHITOMASI, FREAK, 4.23047, 4.50654
21, SHITOMASI, FREAK, 4.60356, 5.57195
22, SHITOMASI, FREAK, 4.55505, 9.6924
23, SHITOMASI, FREAK, 3.95116, 8.42956
24, SHITOMASI, FREAK, 4.32334, 6.92477
25, SHITOMASI, FREAK, 5.96309, 7.14685
26, SHITOMASI, FREAK, 4.46002, 9.97544
27, SHITOMASI, FREAK, 4.15826, 7.05917
28, SHITOMASI, FREAK, 5.06502, 12.6654
29, SHITOMASI, FREAK, 4.48632, 7.53236
30, SHITOMASI, FREAK, 4.77536, 6.9787
31, SHITOMASI, FREAK, 5.58526, 11.4837
32, SHITOMASI, FREAK, 5.91144, 3.88792
33, SHITOMASI, FREAK, 5.04816, 56280
34, SHITOMASI, FREAK, 6.03997, 7.60855
35, SHITOMASI, FREAK, 5.43733, 6.592
36, SHITOMASI, FREAK, 5.86442, 10.6273
37, SHITOMASI, FREAK, 4.87252, 3.46622
38, SHITOMASI, FREAK, 6.11302, 12.7481
39, SHITOMASI, FREAK, 7.07268, 6.43416
40, SHITOMASI, FREAK, 6.7094, 5.2067
41, SHITOMASI, FREAK, 7.92532, 5.16091
42, SHITOMASI, FREAK, 6.77408, 5.86919
43, SHITOMASI, FREAK, 7.50264, 14.2251
44, SHITOMASI, FREAK, 7.4932, 4.73753
45, SHITOMASI, FREAK, 7.2277, 4.45534
46, SHITOMASI, FREAK, 9.12325, 9.35527
47, SHITOMASI, FREAK, 8.42807, 6.95277
48, SHITOMASI, FREAK, 6.85133, 14.9616
49, SHITOMASI, FREAK, 6.56377, 44930
50, SHITOMASI, FREAK, 8.97075, 4.57972
51, SHITOMASI, FREAK, 8.31138, 44320
52, SHITOMASI, FREAK, 7.91735, 44390
53, SHITOMASI, FREAK, 7.73296, 15.2015
54, SHITOMASI, FREAK, 7.32411, 44190
55, SHITOMASI, FREAK, 6.5906, 44350
56, SHITOMASI, FREAK, 8.29764, 4.6176
57, SHITOMASI, FREAK, 7.84331, 44230
58, SHITOMASI, FREAK, 6.66934, 4.50684
59, SHITOMASI, FREAK, 8.12554, 43470
59, SHITOMASI, FREAK, 20.6477, 46020
60, SHITOMASI, FREAK, 8.09781, 48.1449
61, SHITOMASI, FREAK, 8.41049, 44270
62, SHITOMASI, FREAK, 8.27061, 44.1249
62, SHITOMASI, FREAK, 21.5034, 91.4949
63, SHITOMASI, FREAK, 7.14665, 5.15774
63, SHITOMASI, FREAK, 25.2905, 32.6197
64, SHITOMASI, FREAK, 8.36164, 44160
64, SHITOMASI, FREAK, 22.185, 46070
65, SHITOMASI, FREAK, 8.63234, 44230
65, SHITOMASI, FREAK, 18.4327, 16.3478
66, SHITOMASI, FREAK, 7.44404, 33.897
66, SHITOMASI, FREAK, 22.5719, 46040
67, SHITOMASI, FREAK, 8.00773, 44210
67, SHITOMASI, FREAK, 28.1919, 16.3371
68, SHITOMASI, FREAK, 8.50624, 5.56723
68, SHITOMASI, FREAK, 23.895, 45990
69, SHITOMASI, FREAK, 8.71128, 86.5848
69, SHITOMASI, FREAK, 23.3198, 76.4221
70, SHITOMASI, FREAK, 8.61809, 44100
70, SHITOMASI, FREAK, 28.5392, 152.503
71, SHITOMASI, FREAK, 8.75627, 44210
71, SHITOMASI, FREAK, 19.6972, 65.3783
72, SHITOMASI, FREAK, 8.01802, 44280
72, SHITOMASI, FREAK, 23.783, 46070
73, SHITOMASI, FREAK, 9.1331, 220.215
73, SHITOMASI, FREAK, 20.7668, 17.6124
74, SHITOMASI, FREAK, 9.49454, 5.04593
74, SHITOMASI, FREAK, 18.5269, 46000
75, SHITOMASI, FREAK, 7.6594, 44150
75, SHITOMASI, FREAK, 17.0038, 46030
76, SHITOMASI, FREAK, 8.10008, 44230
77, SHITOMASI, FREAK, 7.38724, 195610
