Detector SHITOMASI, descriptor SIFT
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, SHITOMASI, SIFT, 129.186, 12.97
2, SHITOMASI, SIFT, 8.35543, 12.2621
3, SHITOMASI, SIFT, 13.1065, 13.9136
4, SHITOMASI, SIFT, 10.5165, 7.11506
5, SHITOMASI, SIFT, 160.241, 16.2476
6, SHITOMASI, SIFT, 8.36492, 12.4193
7, SHITOMASI, SIFT, 17.1137, 34.3248
8, SHITOMASI, SIFT, 23.8999, 9.34259
9, SHITOMASI, SIFT, 18.7816, 18.1273
10, SHITOMASI, SIFT, 10000, 18.0274
11, SHITOMASI, SIFT, 8.65178, 16.6984
12, SHITOMASI, SIFT, 13.956, 9.44291
13, SHITOMASI, SIFT, 13.5348, 9.22189
14, SHITOMASI, SIFT, 6.45269, 10.9661
15, SHITOMASI, SIFT, 14.3947, 8.09329
16, SHITOMASI, SIFT, 7.8804, 9.16462
17, SHITOMASI, SIFT, 12.8037, 9.85
18, SHITOMASI, SIFT, 6.03013, 8.30877
19, SHITOMASI, SIFT, 6.91486, 7.64229
20, SHITOMASI, SIFT, 11.8339, 4.50654
21, SHITOMASI, SIFT, 12.0168, 5.57195
22, SHITOMASI, SIFT, 7.69094, 9.6924
23, SHITOMASI, SIFT, 12.6271, 8.42956
24, SHITOMASI, SIFT, 8.34712, 6.92477
25, SHITOMASI, SIFT, 8.34248, 7.14685
26, SHITOMASI, SIFT, 9.16267, 9.97544
27, SHITOMASI, SIFT, 7.39043, 7.05917
28, SHITOMASI, SIFT, 15.2068, 12.6654
29, SHITOMASI, SIFT, 10.2431, 7.53236
30, SHITOMASI, SIFT, 10.3739, 6.9787
31, SHITOMASI, SIFT, 17.9885, 11.4837
32, SHITOMASI, SIFT, 17.8474, 3.88792
33, SHITOMASI, SIFT, 9.93083, 56280
34, SHITOMASI, SIFT, 6.65234, 7.60855
35, SHITOMASI, SIFT, 7.55799, 6.592
36, SHITOMASI, SIFT, 11.5676, 10.6273
37, SHITOMASI, SIFT, 8.30683, 3.46622
38, SHITOMASI, SIFT, 7.70855, 12.7481
39, SHITOMASI, SIFT, 9.50876, 6.43416
40, SHITOMASI, SIFT, 8.56315, 5.2067
41, SHITOMASI, SIFT, 8.5892, 5.16091
42, SHITOMASI, SIFT, 6.48315, 5.86919
43, SHITOMASI, SIFT, 7.61094, 14.2251
44, SHITOMASI, SIFT, 8.17114, 4.73753
45, SHITOMASI, SIFT, 9.19746, 4.45534
46, SHITOMASI, SIFT, 8.89808, 9.35527
47, SHITOMASI, SIFT, 9.72696, 6.95277
48, SHITOMASI, SIFT, 14.4057, 14.9616
49, SHITOMASI, SIFT, 9.97895, 44930
50, SHITOMASI, SIFT, 19.8687, 4.57972
51, SHITOMASI, SIFT, 43.2171, 44320
52, SHITOMASI, SIFT, 19.6213, 44390
53, SHITOMASI, SIFT, 712.88, 15.2015
54, SHITOMASI, SIFT, 10000, 44190
55, SHITOMASI, SIFT, 10000, 44350
56, SHITOMASI, SIFT, inf, 4.6176
57, SHITOMASI, SIFT, 130.405, 44230
58, SHITOMASI, SIFT, 10000, 4.50684
59, SHITOMASI, SIFT, inf, 43470
59, SHITOMASI, SIFT, 10000, 46020
60, SHITOMASI, SIFT, 40.1466, 48.1449
61, SHITOMASI, SIFT, inf, 44270
62, SHITOMASI, SIFT, 68.9146, 44.1249
62, SHITOMASI, SIFT, 10000, 91.4949
63, SHITOMASI, SIFT, 10000, 5.15774
63, SHITOMASI, SIFT, 10000, 32.6197
64, SHITOMASI, SIFT, 62.3232, 44160
64, SHITOMASI, SIFT, 10000, 46070
65, SHITOMASI, SIFT, 199.761, 44230
65, SHITOMASI, SIFT, 10000, 16.3478
66, SHITOMASI, SIFT, 10000, 33.897
66, SHITOMASI, SIFT, 10000, 46040
67, SHITOMASI, SIFT, 10000, 44210
67, SHITOMASI, SIFT, 10000, 16.3371
68, SHITOMASI, SIFT, 10000, 5.56723
68, SHITOMASI, SIFT, 10000, 45990
69, SHITOMASI, SIFT, inf, 86.5848
69, SHITOMASI, SIFT, 10000, 76.4221
70, SHITOMASI, SIFT, 10000, 44100
70, SHITOMASI, SIFT, 10000, 152.503
71, SHITOMASI, SIFT, 10000, 44210
71, SHITOMASI, SIFT, 10000, 65.3783
72, SHITOMASI, SIFT, 182.724, 44280
72, SHITOMASI, SIFT, 10000, 46070
73, SHITOMASI, SIFT, 181.15, 220.215
73, SHITOMASI, SIFT, 10000, 17.6124
74, SHITOMASI, SIFT, 10000, 5.04593
74, SHITOMASI, SIFT, 162.454, 46000
75, SHITOMASI, SIFT, 10000, 44150
75, SHITOMASI, SIFT, 112.946, 46030
76, SHITOMASI, SIFT, 749.016, 44230
77, SHITOMASI, SIFT, 10000, 195610
